date,GOOG
2021-01-01,35
2021-01-02,38
2021-01-03,41
2021-01-04,59
2021-01-05,54
2021-01-06,64
2021-01-07,62
2021-01-08,58
2021-01-09,40
2021-01-10,40
2021-01-11,58
2021-01-12,61
2021-01-13,60
2021-01-14,56
2021-01-15,56
2021-01-16,41
2021-01-17,40
2021-01-18,57
2021-01-19,59
2021-01-20,60
2021-01-21,64
2021-01-22,60
2021-01-23,40
2021-01-24,46
2021-01-25,65
2021-01-26,59
2021-01-27,66
2021-01-28,64
2021-01-29,59
2021-01-30,40
2021-01-31,38
2021-02-01,64
2021-02-02,91
2021-02-03,100
2021-02-04,83
2021-02-05,64
2021-02-06,41
2021-02-07,37
2021-02-08,67
2021-02-09,62
2021-02-10,63
2021-02-11,62
2021-02-12,59
2021-02-13,39
2021-02-14,39
2021-02-15,52
2021-02-16,59
2021-02-17,59
2021-02-18,60
2021-02-19,55
2021-02-20,39
2021-02-21,37
2021-02-22,62
2021-02-23,60
2021-02-24,63
2021-02-25,59
2021-02-26,58
2021-02-27,42
2021-02-28,40
2021-03-01,59
2021-03-02,61
2021-03-03,56
2021-03-04,64
2021-03-05,58
2021-03-06,43
2021-03-07,41
2021-03-08,68
2021-03-09,56
2021-03-10,61
2021-03-11,61
2021-03-12,56
2021-03-13,40
2021-03-14,37
2021-03-15,56
2021-03-16,56
2021-03-17,55
2021-03-18,59
2021-03-19,58
2021-03-20,40
2021-03-21,42
2021-03-22,57
2021-03-23,59
2021-03-24,61
2021-03-25,57
2021-03-26,52
2021-03-27,39
2021-03-28,38
2021-03-29,58
2021-03-30,57
2021-03-31,56
2021-04-01,59
