date,META
2019-01-01,68
2019-01-02,75
2019-01-03,79
2019-01-04,83
2019-01-05,66
2019-01-06,62
2019-01-07,72
2019-01-08,76
2019-01-09,81
2019-01-10,90
2019-01-11,72
2019-01-12,64
2019-01-13,68
2019-01-14,78
2019-01-15,78
2019-01-16,78
2019-01-17,91
2019-01-18,79
2019-01-19,62
2019-01-20,61
2019-01-21,70
2019-01-22,75
2019-01-23,79
2019-01-24,89
2019-01-25,74
2019-01-26,65
2019-01-27,63
2019-01-28,78
2019-01-29,80
2019-01-30,75
2019-01-31,95
2019-02-01,87
2019-02-02,64
2019-02-03,67
2019-02-04,78
2019-02-05,79
2019-02-06,81
2019-02-07,100
2019-02-08,86
2019-02-09,80
2019-02-10,74
2019-02-11,79
2019-02-12,83
2019-02-13,76
2019-02-14,93
2019-02-15,83
2019-02-16,66
2019-02-17,64
2019-02-18,78
2019-02-19,78
2019-02-20,76
2019-02-21,93
2019-02-22,72
2019-02-23,63
2019-02-24,72
2019-02-25,81
2019-02-26,83
2019-02-27,78
2019-02-28,96
2019-03-01,78
2019-03-02,66
2019-03-03,59
2019-03-04,68
2019-03-05,76
2019-03-06,78
2019-03-07,92
2019-03-08,73
2019-03-09,66
2019-03-10,67
2019-03-11,78
2019-03-12,81
2019-03-13,76
2019-03-14,92
2019-03-15,78
2019-03-16,62
2019-03-17,66
2019-03-18,75
2019-03-19,77
2019-03-20,79
2019-03-21,90
2019-03-22,74
2019-03-23,63
2019-03-24,66
2019-03-25,76
2019-03-26,78
2019-03-27,82
2019-03-28,99
2019-03-29,75
2019-03-30,64
2019-03-31,64
2019-04-01,76
