date,AMZN
2018-01-01,4
2018-01-02,16
2018-01-03,18
2018-01-04,19
2018-01-05,18
2018-01-06,8
2018-01-07,4
2018-01-08,18
2018-01-09,24
2018-01-10,21
2018-01-11,20
2018-01-12,27
2018-01-13,10
2018-01-14,5
2018-01-15,10
2018-01-16,24
2018-01-17,24
2018-01-18,25
2018-01-19,20
2018-01-20,7
2018-01-21,5
2018-01-22,22
2018-01-23,31
2018-01-24,29
2018-01-25,29
2018-01-26,32
2018-01-27,12
2018-01-28,7
2018-01-29,30
2018-01-30,38
2018-01-31,43
2018-02-01,82
2018-02-02,100
2018-02-03,18
2018-02-04,8
2018-02-05,45
2018-02-06,58
2018-02-07,37
2018-02-08,39
2018-02-09,52
2018-02-10,13
2018-02-11,6
2018-02-12,33
2018-02-13,34
2018-02-14,33
2018-02-15,34
2018-02-16,30
2018-02-17,10
2018-02-18,4
2018-02-19,10
2018-02-20,30
2018-02-21,32
2018-02-22,30
2018-02-23,30
2018-02-24,10
2018-02-25,6
2018-02-26,29
2018-02-27,33
2018-02-28,28
2018-03-01,26
2018-03-02,27
2018-03-03,9
2018-03-04,5
2018-03-05,24
2018-03-06,25
2018-03-07,29
2018-03-08,29
2018-03-09,29
2018-03-10,10
2018-03-11,6
2018-03-12,31
2018-03-13,31
2018-03-14,27
2018-03-15,26
2018-03-16,26
2018-03-17,7
2018-03-18,5
2018-03-19,28
2018-03-20,32
2018-03-21,30
2018-03-22,30
2018-03-23,33
2018-03-24,10
2018-03-25,5
2018-03-26,30
2018-03-27,34
2018-03-28,63
2018-03-29,68
2018-03-30,25
2018-03-31,11
2018-04-01,8
