date,GOOG
2021-07-01,60
2021-07-02,60
2021-07-03,40
2021-07-04,40
2021-07-05,57
2021-07-06,61
2021-07-07,59
2021-07-08,66
2021-07-09,61
2021-07-10,42
2021-07-11,39
2021-07-12,60
2021-07-13,68
2021-07-14,61
2021-07-15,62
2021-07-16,60
2021-07-17,42
2021-07-18,41
2021-07-19,63
2021-07-20,64
2021-07-21,57
2021-07-22,61
2021-07-23,67
2021-07-24,48
2021-07-25,42
2021-07-26,69
2021-07-27,99
2021-07-28,100
2021-07-29,72
2021-07-30,65
2021-07-31,41
2021-08-01,38
2021-08-02,63
2021-08-03,62
2021-08-04,63
2021-08-05,61
2021-08-06,60
2021-08-07,40
2021-08-08,41
2021-08-09,62
2021-08-10,63
2021-08-11,61
2021-08-12,60
2021-08-13,58
2021-08-14,39
2021-08-15,40
2021-08-16,63
2021-08-17,64
2021-08-18,58
2021-08-19,58
2021-08-20,58
2021-08-21,42
2021-08-22,38
2021-08-23,72
2021-08-24,71
2021-08-25,69
2021-08-26,68
2021-08-27,62
2021-08-28,46
2021-08-29,36
2021-08-30,65
2021-08-31,68
2021-09-01,71
2021-09-02,63
2021-09-03,64
2021-09-04,41
2021-09-05,40
2021-09-06,58
2021-09-07,66
2021-09-08,64
2021-09-09,65
2021-09-10,62
2021-09-11,42
2021-09-12,46
2021-09-13,73
2021-09-14,65
2021-09-15,66
2021-09-16,64
2021-09-17,66
2021-09-18,41
2021-09-19,41
2021-09-20,73
2021-09-21,69
2021-09-22,65
2021-09-23,68
2021-09-24,63
2021-09-25,44
2021-09-26,46
2021-09-27,72
2021-09-28,70
2021-09-29,74
2021-09-30,64
2021-10-01,71
