date,GOOG
2018-04-01,48
2018-04-02,72
2018-04-03,76
2018-04-04,73
2018-04-05,72
2018-04-06,65
2018-04-07,53
2018-04-08,54
2018-04-09,75
2018-04-10,75
2018-04-11,70
2018-04-12,72
2018-04-13,74
2018-04-14,48
2018-04-15,49
2018-04-16,76
2018-04-17,72
2018-04-18,69
2018-04-19,72
2018-04-20,65
2018-04-21,52
2018-04-22,46
2018-04-23,100
2018-04-24,98
2018-04-25,81
2018-04-26,80
2018-04-27,72
2018-04-28,52
2018-04-29,52
2018-04-30,70
2018-05-01,71
2018-05-02,73
2018-05-03,76
2018-05-04,74
2018-05-05,50
2018-05-06,53
2018-05-07,68
2018-05-08,71
2018-05-09,76
2018-05-10,73
2018-05-11,62
2018-05-12,52
2018-05-13,50
2018-05-14,76
2018-05-15,72
2018-05-16,74
2018-05-17,70
2018-05-18,65
2018-05-19,49
2018-05-20,49
2018-05-21,71
2018-05-22,74
2018-05-23,70
2018-05-24,61
2018-05-25,68
2018-05-26,46
2018-05-27,48
2018-05-28,57
2018-05-29,68
2018-05-30,63
2018-05-31,71
2018-06-01,66
2018-06-02,49
2018-06-03,51
2018-06-04,71
2018-06-05,64
2018-06-06,62
2018-06-07,68
2018-06-08,61
2018-06-09,46
2018-06-10,48
2018-06-11,67
2018-06-12,63
2018-06-13,64
2018-06-14,62
2018-06-15,63
2018-06-16,53
2018-06-17,47
2018-06-18,62
2018-06-19,70
2018-06-20,63
2018-06-21,61
2018-06-22,63
2018-06-23,50
2018-06-24,52
2018-06-25,68
2018-06-26,59
2018-06-27,59
2018-06-28,64
2018-06-29,63
2018-06-30,47
2018-07-01,47
