date,AMZN
2014-07-01,15
2014-07-02,12
2014-07-03,19
2014-07-04,4
2014-07-05,4
2014-07-06,4
2014-07-07,17
2014-07-08,12
2014-07-09,15
2014-07-10,17
2014-07-11,27
2014-07-12,9
2014-07-13,5
2014-07-14,16
2014-07-15,18
2014-07-16,21
2014-07-17,13
2014-07-18,15
2014-07-19,7
2014-07-20,3
2014-07-21,16
2014-07-22,19
2014-07-23,17
2014-07-24,61
2014-07-25,100
2014-07-26,20
2014-07-27,11
2014-07-28,27
2014-07-29,30
2014-07-30,19
2014-07-31,23
2014-08-01,24
2014-08-02,8
2014-08-03,4
2014-08-04,21
2014-08-05,21
2014-08-06,18
2014-08-07,20
2014-08-08,17
2014-08-09,6
2014-08-10,4
2014-08-11,16
2014-08-12,18
2014-08-13,19
2014-08-14,20
2014-08-15,16
2014-08-16,7
2014-08-17,2
2014-08-18,11
2014-08-19,15
2014-08-20,14
2014-08-21,17
2014-08-22,12
2014-08-23,6
2014-08-24,5
2014-08-25,24
2014-08-26,22
2014-08-27,24
2014-08-28,17
2014-08-29,14
2014-08-30,7
2014-08-31,4
2014-09-01,4
2014-09-02,11
2014-09-03,14
2014-09-04,14
2014-09-05,10
2014-09-06,6
2014-09-07,2
2014-09-08,13
2014-09-09,16
2014-09-10,15
2014-09-11,13
2014-09-12,12
2014-09-13,4
2014-09-14,4
2014-09-15,11
2014-09-16,14
2014-09-17,14
2014-09-18,14
2014-09-19,17
2014-09-20,6
2014-09-21,5
2014-09-22,11
2014-09-23,9
2014-09-24,15
2014-09-25,12
2014-09-26,9
2014-09-27,4
2014-09-28,2
2014-09-29,7
2014-09-30,9
2014-10-01,12
