date,META
2012-01-01,64
2012-01-02,81
2012-01-03,84
2012-01-04,90
2012-01-05,89
2012-01-06,83
2012-01-07,70
2012-01-08,68
2012-01-09,83
2012-01-10,84
2012-01-11,90
2012-01-12,93
2012-01-13,88
2012-01-14,71
2012-01-15,77
2012-01-16,86
2012-01-17,93
2012-01-18,93
2012-01-19,96
2012-01-20,89
2012-01-21,69
2012-01-22,73
2012-01-23,91
2012-01-24,89
2012-01-25,92
2012-01-26,97
2012-01-27,83
2012-01-28,71
2012-01-29,69
2012-01-30,88
2012-01-31,96
2012-02-01,99
2012-02-02,95
2012-02-03,82
2012-02-04,67
2012-02-05,73
2012-02-06,89
2012-02-07,85
2012-02-08,90
2012-02-09,96
2012-02-10,88
2012-02-11,71
2012-02-12,70
2012-02-13,88
2012-02-14,86
2012-02-15,89
2012-02-16,91
2012-02-17,79
2012-02-18,70
2012-02-19,72
2012-02-20,91
2012-02-21,93
2012-02-22,88
2012-02-23,100
2012-02-24,94
2012-02-25,76
2012-02-26,78
2012-02-27,85
2012-02-28,91
2012-02-29,91
2012-03-01,96
2012-03-02,86
2012-03-03,76
2012-03-04,79
2012-03-05,90
2012-03-06,88
2012-03-07,92
2012-03-08,92
2012-03-09,86
2012-03-10,68
2012-03-11,74
2012-03-12,87
2012-03-13,86
2012-03-14,96
2012-03-15,94
2012-03-16,85
2012-03-17,70
2012-03-18,73
2012-03-19,88
2012-03-20,83
2012-03-21,91
2012-03-22,92
2012-03-23,92
2012-03-24,73
2012-03-25,67
2012-03-26,89
2012-03-27,84
2012-03-28,82
2012-03-29,96
2012-03-30,83
2012-03-31,68
2012-04-01,71
