date,MSFT
2015-10-01,19
2015-10-02,21
2015-10-03,6
2015-10-04,8
2015-10-05,18
2015-10-06,36
2015-10-07,31
2015-10-08,27
2015-10-09,23
2015-10-10,9
2015-10-11,8
2015-10-12,14
2015-10-13,22
2015-10-14,18
2015-10-15,19
2015-10-16,20
2015-10-17,7
2015-10-18,8
2015-10-19,22
2015-10-20,22
2015-10-21,20
2015-10-22,57
2015-10-23,100
2015-10-24,27
2015-10-25,12
2015-10-26,45
2015-10-27,39
2015-10-28,39
2015-10-29,35
2015-10-30,27
2015-10-31,9
2015-11-01,8
2015-11-02,26
2015-11-03,33
2015-11-04,28
2015-11-05,25
2015-11-06,25
2015-11-07,14
2015-11-08,5
2015-11-09,24
2015-11-10,23
2015-11-11,21
2015-11-12,20
2015-11-13,22
2015-11-14,14
2015-11-15,5
2015-11-16,21
2015-11-17,18
2015-11-18,20
2015-11-19,21
2015-11-20,17
2015-11-21,5
2015-11-22,4
2015-11-23,15
2015-11-24,15
2015-11-25,16
2015-11-26,8
2015-11-27,10
2015-11-28,7
2015-11-29,5
2015-11-30,25
2015-12-01,22
2015-12-02,20
2015-12-03,18
2015-12-04,20
2015-12-05,13
2015-12-06,6
2015-12-07,15
2015-12-08,17
2015-12-09,16
2015-12-10,15
2015-12-11,17
2015-12-12,7
2015-12-13,5
2015-12-14,18
2015-12-15,19
2015-12-16,23
2015-12-17,21
2015-12-18,20
2015-12-19,6
2015-12-20,3
2015-12-21,13
2015-12-22,17
2015-12-23,17
2015-12-24,13
2015-12-25,6
2015-12-26,9
2015-12-27,5
2015-12-28,18
2015-12-29,19
2015-12-30,19
2015-12-31,15
2016-01-01,5
