date,META
2015-01-01,72
2015-01-02,69
2015-01-03,62
2015-01-04,65
2015-01-05,80
2015-01-06,75
2015-01-07,74
2015-01-08,89
2015-01-09,79
2015-01-10,62
2015-01-11,62
2015-01-12,73
2015-01-13,74
2015-01-14,82
2015-01-15,82
2015-01-16,85
2015-01-17,59
2015-01-18,63
2015-01-19,80
2015-01-20,84
2015-01-21,84
2015-01-22,87
2015-01-23,77
2015-01-24,65
2015-01-25,61
2015-01-26,81
2015-01-27,77
2015-01-28,81
2015-01-29,84
2015-01-30,84
2015-01-31,65
2015-02-01,68
2015-02-02,79
2015-02-03,83
2015-02-04,90
2015-02-05,93
2015-02-06,80
2015-02-07,64
2015-02-08,56
2015-02-09,85
2015-02-10,89
2015-02-11,84
2015-02-12,91
2015-02-13,84
2015-02-14,62
2015-02-15,63
2015-02-16,82
2015-02-17,86
2015-02-18,85
2015-02-19,91
2015-02-20,90
2015-02-21,70
2015-02-22,65
2015-02-23,85
2015-02-24,84
2015-02-25,85
2015-02-26,93
2015-02-27,80
2015-02-28,80
2015-03-01,79
2015-03-02,87
2015-03-03,88
2015-03-04,82
2015-03-05,100
2015-03-06,85
2015-03-07,68
2015-03-08,61
2015-03-09,87
2015-03-10,84
2015-03-11,80
2015-03-12,92
2015-03-13,82
2015-03-14,67
2015-03-15,63
2015-03-16,83
2015-03-17,84
2015-03-18,90
2015-03-19,99
2015-03-20,86
2015-03-21,65
2015-03-22,65
2015-03-23,81
2015-03-24,84
2015-03-25,88
2015-03-26,95
2015-03-27,86
2015-03-28,64
2015-03-29,67
2015-03-30,83
2015-03-31,79
2015-04-01,80
