date,AMZN
2012-10-01,17
2012-10-02,25
2012-10-03,22
2012-10-04,30
2012-10-05,27
2012-10-06,9
2012-10-07,4
2012-10-08,19
2012-10-09,17
2012-10-10,21
2012-10-11,37
2012-10-12,22
2012-10-13,3
2012-10-14,5
2012-10-15,35
2012-10-16,18
2012-10-17,30
2012-10-18,34
2012-10-19,22
2012-10-20,13
2012-10-21,9
2012-10-22,30
2012-10-23,33
2012-10-24,42
2012-10-25,100
2012-10-26,90
2012-10-27,29
2012-10-28,9
2012-10-29,24
2012-10-30,14
2012-10-31,29
2012-11-01,26
2012-11-02,25
2012-11-03,9
2012-11-04,7
2012-11-05,23
2012-11-06,19
2012-11-07,26
2012-11-08,29
2012-11-09,29
2012-11-10,6
2012-11-11,10
2012-11-12,22
2012-11-13,16
2012-11-14,28
2012-11-15,20
2012-11-16,20
2012-11-17,12
2012-11-18,7
2012-11-19,29
2012-11-20,31
2012-11-21,21
2012-11-22,7
2012-11-23,21
2012-11-24,8
2012-11-25,3
2012-11-26,27
2012-11-27,28
2012-11-28,40
2012-11-29,31
2012-11-30,44
2012-12-01,15
2012-12-02,7
2012-12-03,24
2012-12-04,20
2012-12-05,25
2012-12-06,30
2012-12-07,27
2012-12-08,13
2012-12-09,11
2012-12-10,16
2012-12-11,28
2012-12-12,27
2012-12-13,18
2012-12-14,36
2012-12-15,7
2012-12-16,7
2012-12-17,29
2012-12-18,28
2012-12-19,31
2012-12-20,21
2012-12-21,29
2012-12-22,6
2012-12-23,8
2012-12-24,17
2012-12-25,14
2012-12-26,40
2012-12-27,34
2012-12-28,34
2012-12-29,14
2012-12-30,10
2012-12-31,23
2013-01-01,14
