date,META
2017-04-01,76
2017-04-02,74
2017-04-03,85
2017-04-04,84
2017-04-05,83
2017-04-06,97
2017-04-07,83
2017-04-08,79
2017-04-09,70
2017-04-10,85
2017-04-11,84
2017-04-12,88
2017-04-13,85
2017-04-14,77
2017-04-15,76
2017-04-16,70
2017-04-17,80
2017-04-18,87
2017-04-19,84
2017-04-20,100
2017-04-21,82
2017-04-22,79
2017-04-23,72
2017-04-24,81
2017-04-25,87
2017-04-26,87
2017-04-27,94
2017-04-28,82
2017-04-29,75
2017-04-30,72
2017-05-01,86
2017-05-02,86
2017-05-03,85
2017-05-04,89
2017-05-05,83
2017-05-06,72
2017-05-07,69
2017-05-08,81
2017-05-09,81
2017-05-10,82
2017-05-11,88
2017-05-12,76
2017-05-13,77
2017-05-14,61
2017-05-15,81
2017-05-16,76
2017-05-17,77
2017-05-18,91
2017-05-19,77
2017-05-20,82
2017-05-21,70
2017-05-22,84
2017-05-23,82
2017-05-24,78
2017-05-25,95
2017-05-26,76
2017-05-27,70
2017-05-28,63
2017-05-29,74
2017-05-30,75
2017-05-31,86
2017-06-01,88
2017-06-02,81
2017-06-03,66
2017-06-04,58
2017-06-05,87
2017-06-06,75
2017-06-07,78
2017-06-08,86
2017-06-09,71
2017-06-10,55
2017-06-11,58
2017-06-12,70
2017-06-13,79
2017-06-14,74
2017-06-15,86
2017-06-16,69
2017-06-17,58
2017-06-18,60
2017-06-19,72
2017-06-20,73
2017-06-21,78
2017-06-22,91
2017-06-23,76
2017-06-24,63
2017-06-25,58
2017-06-26,73
2017-06-27,72
2017-06-28,78
2017-06-29,88
2017-06-30,71
2017-07-01,59
