date,META
2021-07-01,100
2021-07-02,72
2021-07-03,67
2021-07-04,67
2021-07-05,77
2021-07-06,71
2021-07-07,79
2021-07-08,94
2021-07-09,76
2021-07-10,74
2021-07-11,61
2021-07-12,74
2021-07-13,74
2021-07-14,72
2021-07-15,97
2021-07-16,81
2021-07-17,73
2021-07-18,66
2021-07-19,78
2021-07-20,74
2021-07-21,76
2021-07-22,94
2021-07-23,78
2021-07-24,70
2021-07-25,66
2021-07-26,76
2021-07-27,77
2021-07-28,74
2021-07-29,95
2021-07-30,77
2021-07-31,66
2021-08-01,65
2021-08-02,75
2021-08-03,75
2021-08-04,78
2021-08-05,91
2021-08-06,73
2021-08-07,64
2021-08-08,62
2021-08-09,70
2021-08-10,74
2021-08-11,74
2021-08-12,96
2021-08-13,71
2021-08-14,63
2021-08-15,70
2021-08-16,72
2021-08-17,75
2021-08-18,78
2021-08-19,92
2021-08-20,75
2021-08-21,71
2021-08-22,68
2021-08-23,75
2021-08-24,81
2021-08-25,81
2021-08-26,96
2021-08-27,76
2021-08-28,71
2021-08-29,66
2021-08-30,79
2021-08-31,81
2021-09-01,79
2021-09-02,95
2021-09-03,76
2021-09-04,67
2021-09-05,64
2021-09-06,76
2021-09-07,75
2021-09-08,76
2021-09-09,95
2021-09-10,79
2021-09-11,68
2021-09-12,65
2021-09-13,77
2021-09-14,78
2021-09-15,76
2021-09-16,95
2021-09-17,80
2021-09-18,68
2021-09-19,68
2021-09-20,77
2021-09-21,74
2021-09-22,74
2021-09-23,92
2021-09-24,75
2021-09-25,64
2021-09-26,62
2021-09-27,78
2021-09-28,82
2021-09-29,79
2021-09-30,98
2021-10-01,82
