date,GOOG
2019-10-01,65
2019-10-02,65
2019-10-03,67
2019-10-04,63
2019-10-05,49
2019-10-06,46
2019-10-07,65
2019-10-08,63
2019-10-09,65
2019-10-10,63
2019-10-11,62
2019-10-12,42
2019-10-13,46
2019-10-14,64
2019-10-15,68
2019-10-16,70
2019-10-17,63
2019-10-18,64
2019-10-19,44
2019-10-20,45
2019-10-21,67
2019-10-22,66
2019-10-23,67
2019-10-24,70
2019-10-25,68
2019-10-26,46
2019-10-27,47
2019-10-28,100
2019-10-29,93
2019-10-30,72
2019-10-31,67
2019-11-01,59
2019-11-02,47
2019-11-03,45
2019-11-04,66
2019-11-05,69
2019-11-06,67
2019-11-07,68
2019-11-08,67
2019-11-09,51
2019-11-10,45
2019-11-11,60
2019-11-12,66
2019-11-13,67
2019-11-14,71
2019-11-15,67
2019-11-16,46
2019-11-17,42
2019-11-18,66
2019-11-19,63
2019-11-20,63
2019-11-21,67
2019-11-22,63
2019-11-23,46
2019-11-24,45
2019-11-25,70
2019-11-26,63
2019-11-27,57
2019-11-28,58
2019-11-29,56
2019-11-30,49
2019-12-01,46
2019-12-02,63
2019-12-03,65
2019-12-04,70
2019-12-05,62
2019-12-06,61
2019-12-07,45
2019-12-08,44
2019-12-09,69
2019-12-10,64
2019-12-11,62
2019-12-12,63
2019-12-13,65
2019-12-14,46
2019-12-15,50
2019-12-16,62
2019-12-17,65
2019-12-18,62
2019-12-19,63
2019-12-20,58
2019-12-21,43
2019-12-22,40
2019-12-23,56
2019-12-24,50
2019-12-25,44
2019-12-26,57
2019-12-27,55
2019-12-28,41
2019-12-29,38
2019-12-30,60
2019-12-31,52
2020-01-01,41
