date,META
2013-07-01,74
2013-07-02,79
2013-07-03,77
2013-07-04,98
2013-07-05,77
2013-07-06,66
2013-07-07,69
2013-07-08,94
2013-07-09,89
2013-07-10,88
2013-07-11,98
2013-07-12,85
2013-07-13,67
2013-07-14,69
2013-07-15,87
2013-07-16,87
2013-07-17,87
2013-07-18,79
2013-07-19,77
2013-07-20,65
2013-07-21,67
2013-07-22,74
2013-07-23,78
2013-07-24,74
2013-07-25,87
2013-07-26,78
2013-07-27,65
2013-07-28,63
2013-07-29,86
2013-07-30,75
2013-07-31,87
2013-08-01,90
2013-08-02,79
2013-08-03,62
2013-08-04,65
2013-08-05,76
2013-08-06,82
2013-08-07,72
2013-08-08,77
2013-08-09,80
2013-08-10,65
2013-08-11,67
2013-08-12,77
2013-08-13,90
2013-08-14,78
2013-08-15,93
2013-08-16,77
2013-08-17,64
2013-08-18,66
2013-08-19,81
2013-08-20,87
2013-08-21,91
2013-08-22,96
2013-08-23,76
2013-08-24,65
2013-08-25,69
2013-08-26,77
2013-08-27,93
2013-08-28,83
2013-08-29,95
2013-08-30,75
2013-08-31,63
2013-09-01,63
2013-09-02,86
2013-09-03,86
2013-09-04,89
2013-09-05,95
2013-09-06,85
2013-09-07,63
2013-09-08,61
2013-09-09,84
2013-09-10,88
2013-09-11,82
2013-09-12,87
2013-09-13,76
2013-09-14,67
2013-09-15,69
2013-09-16,87
2013-09-17,83
2013-09-18,89
2013-09-19,89
2013-09-20,75
2013-09-21,64
2013-09-22,65
2013-09-23,90
2013-09-24,95
2013-09-25,86
2013-09-26,100
2013-09-27,86
2013-09-28,62
2013-09-29,69
2013-09-30,87
2013-10-01,84
