date,AMZN
2014-04-01,20
2014-04-02,32
2014-04-03,31
2014-04-04,29
2014-04-05,8
2014-04-06,6
2014-04-07,24
2014-04-08,29
2014-04-09,29
2014-04-10,28
2014-04-11,31
2014-04-12,9
2014-04-13,8
2014-04-14,27
2014-04-15,24
2014-04-16,25
2014-04-17,29
2014-04-18,17
2014-04-19,8
2014-04-20,6
2014-04-21,23
2014-04-22,24
2014-04-23,33
2014-04-24,72
2014-04-25,100
2014-04-26,27
2014-04-27,15
2014-04-28,59
2014-04-29,41
2014-04-30,35
2014-05-01,43
2014-05-02,31
2014-05-03,7
2014-05-04,5
2014-05-05,29
2014-05-06,27
2014-05-07,36
2014-05-08,37
2014-05-09,36
2014-05-10,11
2014-05-11,5
2014-05-12,29
2014-05-13,28
2014-05-14,25
2014-05-15,32
2014-05-16,19
2014-05-17,7
2014-05-18,6
2014-05-19,25
2014-05-20,27
2014-05-21,30
2014-05-22,28
2014-05-23,25
2014-05-24,9
2014-05-25,8
2014-05-26,6
2014-05-27,20
2014-05-28,23
2014-05-29,25
2014-05-30,18
2014-05-31,6
2014-06-01,8
2014-06-02,17
2014-06-03,16
2014-06-04,23
2014-06-05,45
2014-06-06,42
2014-06-07,15
2014-06-08,6
2014-06-09,24
2014-06-10,29
2014-06-11,26
2014-06-12,33
2014-06-13,23
2014-06-14,9
2014-06-15,7
2014-06-16,21
2014-06-17,26
2014-06-18,67
2014-06-19,59
2014-06-20,28
2014-06-21,8
2014-06-22,4
2014-06-23,23
2014-06-24,26
2014-06-25,25
2014-06-26,21
2014-06-27,21
2014-06-28,6
2014-06-29,7
2014-06-30,17
2014-07-01,21
