date,GOOG
2018-01-01,54
2018-01-02,70
2018-01-03,73
2018-01-04,67
2018-01-05,63
2018-01-06,54
2018-01-07,57
2018-01-08,69
2018-01-09,72
2018-01-10,69
2018-01-11,76
2018-01-12,72
2018-01-13,58
2018-01-14,56
2018-01-15,68
2018-01-16,68
2018-01-17,72
2018-01-18,75
2018-01-19,69
2018-01-20,56
2018-01-21,53
2018-01-22,73
2018-01-23,72
2018-01-24,72
2018-01-25,76
2018-01-26,63
2018-01-27,55
2018-01-28,54
2018-01-29,75
2018-01-30,75
2018-01-31,72
2018-02-01,94
2018-02-02,100
2018-02-03,53
2018-02-04,54
2018-02-05,87
2018-02-06,86
2018-02-07,81
2018-02-08,82
2018-02-09,80
2018-02-10,51
2018-02-11,56
2018-02-12,81
2018-02-13,78
2018-02-14,76
2018-02-15,76
2018-02-16,72
2018-02-17,53
2018-02-18,52
2018-02-19,64
2018-02-20,73
2018-02-21,72
2018-02-22,71
2018-02-23,68
2018-02-24,53
2018-02-25,52
2018-02-26,71
2018-02-27,82
2018-02-28,71
2018-03-01,68
2018-03-02,62
2018-03-03,50
2018-03-04,51
2018-03-05,72
2018-03-06,71
2018-03-07,69
2018-03-08,70
2018-03-09,73
2018-03-10,52
2018-03-11,52
2018-03-12,66
2018-03-13,72
2018-03-14,70
2018-03-15,72
2018-03-16,69
2018-03-17,48
2018-03-18,49
2018-03-19,71
2018-03-20,73
2018-03-21,71
2018-03-22,73
2018-03-23,73
2018-03-24,56
2018-03-25,51
2018-03-26,76
2018-03-27,73
2018-03-28,80
2018-03-29,76
2018-03-30,61
2018-03-31,54
2018-04-01,46
