date,AMZN
2018-04-01,8
2018-04-02,62
2018-04-03,56
2018-04-04,46
2018-04-05,38
2018-04-06,42
2018-04-07,9
2018-04-08,6
2018-04-09,30
2018-04-10,32
2018-04-11,30
2018-04-12,27
2018-04-13,26
2018-04-14,8
2018-04-15,5
2018-04-16,23
2018-04-17,31
2018-04-18,37
2018-04-19,42
2018-04-20,35
2018-04-21,8
2018-04-22,6
2018-04-23,30
2018-04-24,36
2018-04-25,39
2018-04-26,83
2018-04-27,100
2018-04-28,16
2018-04-29,8
2018-04-30,34
2018-05-01,33
2018-05-02,29
2018-05-03,26
2018-05-04,26
2018-05-05,9
2018-05-06,6
2018-05-07,27
2018-05-08,26
2018-05-09,27
2018-05-10,30
2018-05-11,27
2018-05-12,8
2018-05-13,5
2018-05-14,24
2018-05-15,27
2018-05-16,25
2018-05-17,23
2018-05-18,22
2018-05-19,7
2018-05-20,3
2018-05-21,23
2018-05-22,23
2018-05-23,23
2018-05-24,21
2018-05-25,20
2018-05-26,6
2018-05-27,4
2018-05-28,5
2018-05-29,20
2018-05-30,23
2018-05-31,22
2018-06-01,25
2018-06-02,7
2018-06-03,5
2018-06-04,22
2018-06-05,28
2018-06-06,30
2018-06-07,25
2018-06-08,24
2018-06-09,7
2018-06-10,4
2018-06-11,19
2018-06-12,23
2018-06-13,24
2018-06-14,23
2018-06-15,24
2018-06-16,7
2018-06-17,4
2018-06-18,21
2018-06-19,25
2018-06-20,26
2018-06-21,31
2018-06-22,25
2018-06-23,7
2018-06-24,4
2018-06-25,29
2018-06-26,25
2018-06-27,25
2018-06-28,28
2018-06-29,27
2018-06-30,7
2018-07-01,5
