date,META
2013-01-01,55
2013-01-02,74
2013-01-03,80
2013-01-04,75
2013-01-05,67
2013-01-06,59
2013-01-07,73
2013-01-08,74
2013-01-09,82
2013-01-10,83
2013-01-11,81
2013-01-12,62
2013-01-13,63
2013-01-14,82
2013-01-15,85
2013-01-16,79
2013-01-17,94
2013-01-18,74
2013-01-19,67
2013-01-20,62
2013-01-21,71
2013-01-22,77
2013-01-23,87
2013-01-24,91
2013-01-25,78
2013-01-26,65
2013-01-27,64
2013-01-28,83
2013-01-29,87
2013-01-30,87
2013-01-31,80
2013-02-01,76
2013-02-02,60
2013-02-03,65
2013-02-04,83
2013-02-05,93
2013-02-06,87
2013-02-07,89
2013-02-08,76
2013-02-09,64
2013-02-10,65
2013-02-11,76
2013-02-12,79
2013-02-13,90
2013-02-14,83
2013-02-15,83
2013-02-16,61
2013-02-17,67
2013-02-18,88
2013-02-19,93
2013-02-20,88
2013-02-21,94
2013-02-22,82
2013-02-23,70
2013-02-24,63
2013-02-25,86
2013-02-26,88
2013-02-27,80
2013-02-28,93
2013-03-01,80
2013-03-02,61
2013-03-03,68
2013-03-04,88
2013-03-05,100
2013-03-06,80
2013-03-07,96
2013-03-08,78
2013-03-09,69
2013-03-10,71
2013-03-11,87
2013-03-12,87
2013-03-13,90
2013-03-14,89
2013-03-15,88
2013-03-16,66
2013-03-17,70
2013-03-18,74
2013-03-19,87
2013-03-20,91
2013-03-21,91
2013-03-22,83
2013-03-23,61
2013-03-24,61
2013-03-25,77
2013-03-26,78
2013-03-27,90
2013-03-28,79
2013-03-29,68
2013-03-30,59
2013-03-31,65
2013-04-01,75
