date,AAPL
2015-04-01,29
2015-04-02,27
2015-04-03,19
2015-04-04,8
2015-04-05,6
2015-04-06,28
2015-04-07,32
2015-04-08,30
2015-04-09,30
2015-04-10,38
2015-04-11,11
2015-04-12,9
2015-04-13,35
2015-04-14,33
2015-04-15,30
2015-04-16,31
2015-04-17,30
2015-04-18,10
2015-04-19,7
2015-04-20,36
2015-04-21,32
2015-04-22,31
2015-04-23,37
2015-04-24,45
2015-04-25,16
2015-04-26,11
2015-04-27,96
2015-04-28,100
2015-04-29,51
2015-04-30,43
2015-05-01,48
2015-05-02,15
2015-05-03,8
2015-05-04,37
2015-05-05,37
2015-05-06,36
2015-05-07,35
2015-05-08,38
2015-05-09,11
2015-05-10,8
2015-05-11,32
2015-05-12,31
2015-05-13,29
2015-05-14,34
2015-05-15,35
2015-05-16,8
2015-05-17,8
2015-05-18,32
2015-05-19,35
2015-05-20,29
2015-05-21,29
2015-05-22,32
2015-05-23,10
2015-05-24,6
2015-05-25,9
2015-05-26,32
2015-05-27,34
2015-05-28,32
2015-05-29,27
2015-05-30,8
2015-05-31,7
2015-06-01,29
2015-06-02,27
2015-06-03,30
2015-06-04,30
2015-06-05,29
2015-06-06,8
2015-06-07,6
2015-06-08,34
2015-06-09,30
2015-06-10,30
2015-06-11,27
2015-06-12,25
2015-06-13,9
2015-06-14,5
2015-06-15,26
2015-06-16,28
2015-06-17,24
2015-06-18,27
2015-06-19,24
2015-06-20,6
2015-06-21,5
2015-06-22,24
2015-06-23,25
2015-06-24,29
2015-06-25,28
2015-06-26,22
2015-06-27,9
2015-06-28,6
2015-06-29,31
2015-06-30,30
2015-07-01,29
