date,AMZN
2017-01-01,3
2017-01-02,7
2017-01-03,23
2017-01-04,24
2017-01-05,26
2017-01-06,35
2017-01-07,11
2017-01-08,7
2017-01-09,24
2017-01-10,26
2017-01-11,24
2017-01-12,34
2017-01-13,29
2017-01-14,11
2017-01-15,5
2017-01-16,12
2017-01-17,25
2017-01-18,26
2017-01-19,24
2017-01-20,26
2017-01-21,8
2017-01-22,5
2017-01-23,21
2017-01-24,28
2017-01-25,34
2017-01-26,38
2017-01-27,31
2017-01-28,10
2017-01-29,5
2017-01-30,27
2017-01-31,31
2017-02-01,36
2017-02-02,91
2017-02-03,100
2017-02-04,15
2017-02-05,8
2017-02-06,29
2017-02-07,33
2017-02-08,29
2017-02-09,29
2017-02-10,28
2017-02-11,10
2017-02-12,6
2017-02-13,27
2017-02-14,25
2017-02-15,30
2017-02-16,30
2017-02-17,25
2017-02-18,10
2017-02-19,6
2017-02-20,13
2017-02-21,32
2017-02-22,28
2017-02-23,26
2017-02-24,23
2017-02-25,7
2017-02-26,5
2017-02-27,22
2017-02-28,37
2017-03-01,32
2017-03-02,22
2017-03-03,22
2017-03-04,6
2017-03-05,5
2017-03-06,19
2017-03-07,20
2017-03-08,19
2017-03-09,20
2017-03-10,20
2017-03-11,5
2017-03-12,5
2017-03-13,17
2017-03-14,15
2017-03-15,20
2017-03-16,20
2017-03-17,18
2017-03-18,6
2017-03-19,4
2017-03-20,20
2017-03-21,22
2017-03-22,19
2017-03-23,19
2017-03-24,15
2017-03-25,5
2017-03-26,4
2017-03-27,18
2017-03-28,23
2017-03-29,29
2017-03-30,35
2017-03-31,36
2017-04-01,14
