date,META
2019-04-01,75
2019-04-02,76
2019-04-03,78
2019-04-04,94
2019-04-05,76
2019-04-06,67
2019-04-07,67
2019-04-08,75
2019-04-09,77
2019-04-10,80
2019-04-11,89
2019-04-12,82
2019-04-13,68
2019-04-14,63
2019-04-15,67
2019-04-16,74
2019-04-17,75
2019-04-18,80
2019-04-19,68
2019-04-20,66
2019-04-21,64
2019-04-22,71
2019-04-23,77
2019-04-24,79
2019-04-25,93
2019-04-26,76
2019-04-27,63
2019-04-28,64
2019-04-29,75
2019-04-30,97
2019-05-01,66
2019-05-02,76
2019-05-03,81
2019-05-04,63
2019-05-05,68
2019-05-06,76
2019-05-07,79
2019-05-08,79
2019-05-09,94
2019-05-10,76
2019-05-11,65
2019-05-12,61
2019-05-13,83
2019-05-14,77
2019-05-15,80
2019-05-16,94
2019-05-17,77
2019-05-18,63
2019-05-19,65
2019-05-20,73
2019-05-21,78
2019-05-22,81
2019-05-23,87
2019-05-24,71
2019-05-25,61
2019-05-26,62
2019-05-27,78
2019-05-28,79
2019-05-29,84
2019-05-30,100
2019-05-31,78
2019-06-01,61
2019-06-02,64
2019-06-03,73
2019-06-04,79
2019-06-05,81
2019-06-06,93
2019-06-07,69
2019-06-08,66
2019-06-09,61
2019-06-10,75
2019-06-11,74
2019-06-12,75
2019-06-13,92
2019-06-14,78
2019-06-15,65
2019-06-16,61
2019-06-17,76
2019-06-18,77
2019-06-19,82
2019-06-20,88
2019-06-21,70
2019-06-22,61
2019-06-23,63
2019-06-24,71
2019-06-25,78
2019-06-26,74
2019-06-27,88
2019-06-28,69
2019-06-29,62
2019-06-30,60
2019-07-01,76
