date,MSFT
2014-07-01,24
2014-07-02,20
2014-07-03,27
2014-07-04,14
2014-07-05,4
2014-07-06,8
2014-07-07,19
2014-07-08,23
2014-07-09,21
2014-07-10,22
2014-07-11,18
2014-07-12,8
2014-07-13,3
2014-07-14,21
2014-07-15,26
2014-07-16,43
2014-07-17,100
2014-07-18,52
2014-07-19,20
2014-07-20,14
2014-07-21,35
2014-07-22,77
2014-07-23,54
2014-07-24,40
2014-07-25,31
2014-07-26,12
2014-07-27,9
2014-07-28,26
2014-07-29,27
2014-07-30,24
2014-07-31,24
2014-08-01,24
2014-08-02,9
2014-08-03,3
2014-08-04,23
2014-08-05,22
2014-08-06,21
2014-08-07,18
2014-08-08,20
2014-08-09,8
2014-08-10,9
2014-08-11,22
2014-08-12,24
2014-08-13,20
2014-08-14,23
2014-08-15,23
2014-08-16,7
2014-08-17,4
2014-08-18,21
2014-08-19,26
2014-08-20,26
2014-08-21,24
2014-08-22,22
2014-08-23,9
2014-08-24,5
2014-08-25,19
2014-08-26,21
2014-08-27,23
2014-08-28,21
2014-08-29,17
2014-08-30,9
2014-08-31,8
2014-09-01,11
2014-09-02,19
2014-09-03,20
2014-09-04,25
2014-09-05,32
2014-09-06,9
2014-09-07,7
2014-09-08,31
2014-09-09,28
2014-09-10,34
2014-09-11,28
2014-09-12,25
2014-09-13,13
2014-09-14,12
2014-09-15,32
2014-09-16,33
2014-09-17,31
2014-09-18,36
2014-09-19,29
2014-09-20,12
2014-09-21,8
2014-09-22,30
2014-09-23,24
2014-09-24,25
2014-09-25,27
2014-09-26,23
2014-09-27,13
2014-09-28,6
2014-09-29,23
2014-09-30,27
2014-10-01,31
