date,MSFT
2013-01-01,19
2013-01-02,43
2013-01-03,44
2013-01-04,35
2013-01-05,22
2013-01-06,15
2013-01-07,29
2013-01-08,34
2013-01-09,33
2013-01-10,42
2013-01-11,43
2013-01-12,16
2013-01-13,12
2013-01-14,37
2013-01-15,37
2013-01-16,34
2013-01-17,38
2013-01-18,34
2013-01-19,10
2013-01-20,12
2013-01-21,22
2013-01-22,40
2013-01-23,34
2013-01-24,100
2013-01-25,82
2013-01-26,26
2013-01-27,15
2013-01-28,39
2013-01-29,32
2013-01-30,34
2013-01-31,36
2013-02-01,39
2013-02-02,20
2013-02-03,10
2013-02-04,37
2013-02-05,36
2013-02-06,25
2013-02-07,40
2013-02-08,30
2013-02-09,13
2013-02-10,10
2013-02-11,30
2013-02-12,33
2013-02-13,40
2013-02-14,33
2013-02-15,26
2013-02-16,12
2013-02-17,12
2013-02-18,20
2013-02-19,26
2013-02-20,27
2013-02-21,31
2013-02-22,20
2013-02-23,9
2013-02-24,14
2013-02-25,28
2013-02-26,25
2013-02-27,23
2013-02-28,26
2013-03-01,32
2013-03-02,14
2013-03-03,13
2013-03-04,26
2013-03-05,38
2013-03-06,46
2013-03-07,34
2013-03-08,29
2013-03-09,11
2013-03-10,12
2013-03-11,23
2013-03-12,28
2013-03-13,26
2013-03-14,29
2013-03-15,24
2013-03-16,15
2013-03-17,11
2013-03-18,31
2013-03-19,22
2013-03-20,21
2013-03-21,23
2013-03-22,27
2013-03-23,12
2013-03-24,13
2013-03-25,22
2013-03-26,29
2013-03-27,21
2013-03-28,29
2013-03-29,15
2013-03-30,16
2013-03-31,14
2013-04-01,23
