date,MSFT
2018-01-01,8
2018-01-02,27
2018-01-03,34
2018-01-04,39
2018-01-05,40
2018-01-06,13
2018-01-07,9
2018-01-08,30
2018-01-09,34
2018-01-10,29
2018-01-11,28
2018-01-12,35
2018-01-13,16
2018-01-14,9
2018-01-15,14
2018-01-16,27
2018-01-17,41
2018-01-18,39
2018-01-19,32
2018-01-20,11
2018-01-21,8
2018-01-22,38
2018-01-23,42
2018-01-24,38
2018-01-25,42
2018-01-26,39
2018-01-27,17
2018-01-28,13
2018-01-29,47
2018-01-30,54
2018-01-31,100
2018-02-01,98
2018-02-02,60
2018-02-03,16
2018-02-04,10
2018-02-05,53
2018-02-06,76
2018-02-07,58
2018-02-08,52
2018-02-09,62
2018-02-10,20
2018-02-11,10
2018-02-12,40
2018-02-13,40
2018-02-14,41
2018-02-15,43
2018-02-16,38
2018-02-17,15
2018-02-18,7
2018-02-19,17
2018-02-20,34
2018-02-21,37
2018-02-22,38
2018-02-23,36
2018-02-24,11
2018-02-25,9
2018-02-26,35
2018-02-27,39
2018-02-28,32
2018-03-01,31
2018-03-02,39
2018-03-03,9
2018-03-04,10
2018-03-05,32
2018-03-06,33
2018-03-07,33
2018-03-08,32
2018-03-09,37
2018-03-10,13
2018-03-11,7
2018-03-12,33
2018-03-13,39
2018-03-14,32
2018-03-15,28
2018-03-16,29
2018-03-17,9
2018-03-18,7
2018-03-19,33
2018-03-20,39
2018-03-21,30
2018-03-22,38
2018-03-23,43
2018-03-24,15
2018-03-25,11
2018-03-26,59
2018-03-27,64
2018-03-28,59
2018-03-29,59
2018-03-30,29
2018-03-31,13
2018-04-01,10
