date,AAPL
2020-07-01,19
2020-07-02,19
2020-07-03,8
2020-07-04,3
2020-07-05,3
2020-07-06,22
2020-07-07,23
2020-07-08,23
2020-07-09,23
2020-07-10,23
2020-07-11,7
2020-07-12,4
2020-07-13,29
2020-07-14,24
2020-07-15,29
2020-07-16,23
2020-07-17,20
2020-07-18,5
2020-07-19,4
2020-07-20,22
2020-07-21,25
2020-07-22,20
2020-07-23,29
2020-07-24,30
2020-07-25,6
2020-07-26,4
2020-07-27,22
2020-07-28,23
2020-07-29,22
2020-07-30,55
2020-07-31,87
2020-08-01,21
2020-08-02,12
2020-08-03,51
2020-08-04,42
2020-08-05,35
2020-08-06,39
2020-08-07,38
2020-08-08,10
2020-08-09,7
2020-08-10,35
2020-08-11,38
2020-08-12,37
2020-08-13,42
2020-08-14,37
2020-08-15,9
2020-08-16,7
2020-08-17,33
2020-08-18,33
2020-08-19,44
2020-08-20,42
2020-08-21,59
2020-08-22,17
2020-08-23,11
2020-08-24,67
2020-08-25,59
2020-08-26,53
2020-08-27,48
2020-08-28,50
2020-08-29,17
2020-08-30,16
2020-08-31,100
2020-09-01,85
2020-09-02,80
2020-09-03,84
2020-09-04,96
2020-09-05,18
2020-09-06,10
2020-09-07,17
2020-09-08,81
2020-09-09,76
2020-09-10,63
2020-09-11,57
2020-09-12,13
2020-09-13,8
2020-09-14,58
2020-09-15,71
2020-09-16,57
2020-09-17,54
2020-09-18,54
2020-09-19,13
2020-09-20,9
2020-09-21,56
2020-09-22,55
2020-09-23,52
2020-09-24,49
2020-09-25,44
2020-09-26,11
2020-09-27,6
2020-09-28,41
2020-09-29,38
2020-09-30,37
2020-10-01,37
