date,META
2019-07-01,78
2019-07-02,78
2019-07-03,75
2019-07-04,89
2019-07-05,75
2019-07-06,61
2019-07-07,61
2019-07-08,72
2019-07-09,73
2019-07-10,76
2019-07-11,90
2019-07-12,72
2019-07-13,63
2019-07-14,61
2019-07-15,72
2019-07-16,77
2019-07-17,78
2019-07-18,92
2019-07-19,71
2019-07-20,64
2019-07-21,62
2019-07-22,73
2019-07-23,75
2019-07-24,71
2019-07-25,92
2019-07-26,70
2019-07-27,61
2019-07-28,65
2019-07-29,72
2019-07-30,76
2019-07-31,80
2019-08-01,87
2019-08-02,74
2019-08-03,64
2019-08-04,64
2019-08-05,72
2019-08-06,75
2019-08-07,79
2019-08-08,76
2019-08-09,84
2019-08-10,69
2019-08-11,68
2019-08-12,79
2019-08-13,84
2019-08-14,80
2019-08-15,100
2019-08-16,80
2019-08-17,66
2019-08-18,64
2019-08-19,79
2019-08-20,83
2019-08-21,78
2019-08-22,96
2019-08-23,75
2019-08-24,63
2019-08-25,64
2019-08-26,79
2019-08-27,78
2019-08-28,82
2019-08-29,97
2019-08-30,80
2019-08-31,66
2019-09-01,66
2019-09-02,75
2019-09-03,79
2019-09-04,80
2019-09-05,96
2019-09-06,76
2019-09-07,67
2019-09-08,65
2019-09-09,78
2019-09-10,80
2019-09-11,79
2019-09-12,99
2019-09-13,81
2019-09-14,63
2019-09-15,61
2019-09-16,78
2019-09-17,78
2019-09-18,79
2019-09-19,96
2019-09-20,77
2019-09-21,65
2019-09-22,63
2019-09-23,75
2019-09-24,79
2019-09-25,84
2019-09-26,100
2019-09-27,81
2019-09-28,71
2019-09-29,64
2019-09-30,83
2019-10-01,77
