date,AMZN
2021-01-01,9
2021-01-02,7
2021-01-03,6
2021-01-04,28
2021-01-05,29
2021-01-06,28
2021-01-07,35
2021-01-08,32
2021-01-09,10
2021-01-10,6
2021-01-11,26
2021-01-12,27
2021-01-13,26
2021-01-14,27
2021-01-15,25
2021-01-16,8
2021-01-17,6
2021-01-18,10
2021-01-19,25
2021-01-20,33
2021-01-21,35
2021-01-22,30
2021-01-23,9
2021-01-24,7
2021-01-25,30
2021-01-26,29
2021-01-27,34
2021-01-28,32
2021-01-29,29
2021-01-30,10
2021-01-31,8
2021-02-01,36
2021-02-02,100
2021-02-03,100
2021-02-04,41
2021-02-05,32
2021-02-06,10
2021-02-07,7
2021-02-08,26
2021-02-09,26
2021-02-10,26
2021-02-11,24
2021-02-12,25
2021-02-13,8
2021-02-14,6
2021-02-15,9
2021-02-16,23
2021-02-17,24
2021-02-18,23
2021-02-19,24
2021-02-20,8
2021-02-21,6
2021-02-22,20
2021-02-23,31
2021-02-24,25
2021-02-25,26
2021-02-26,30
2021-02-27,9
2021-02-28,6
2021-03-01,25
2021-03-02,21
2021-03-03,24
2021-03-04,28
2021-03-05,32
2021-03-06,9
2021-03-07,7
2021-03-08,25
2021-03-09,28
2021-03-10,26
2021-03-11,22
2021-03-12,23
2021-03-13,7
2021-03-14,4
2021-03-15,23
2021-03-16,20
2021-03-17,22
2021-03-18,25
2021-03-19,23
2021-03-20,6
2021-03-21,6
2021-03-22,21
2021-03-23,22
2021-03-24,20
2021-03-25,19
2021-03-26,21
2021-03-27,7
2021-03-28,5
2021-03-29,23
2021-03-30,19
2021-03-31,22
2021-04-01,22
