date,AAPL
2018-07-01,3
2018-07-02,13
2018-07-03,16
2018-07-04,4
2018-07-05,13
2018-07-06,16
2018-07-07,4
2018-07-08,3
2018-07-09,17
2018-07-10,18
2018-07-11,17
2018-07-12,17
2018-07-13,17
2018-07-14,5
2018-07-15,3
2018-07-16,15
2018-07-17,18
2018-07-18,16
2018-07-19,20
2018-07-20,18
2018-07-21,4
2018-07-22,3
2018-07-23,17
2018-07-24,20
2018-07-25,21
2018-07-26,25
2018-07-27,25
2018-07-28,7
2018-07-29,5
2018-07-30,24
2018-07-31,80
2018-08-01,100
2018-08-02,84
2018-08-03,54
2018-08-04,12
2018-08-05,6
2018-08-06,30
2018-08-07,30
2018-08-08,24
2018-08-09,25
2018-08-10,22
2018-08-11,6
2018-08-12,4
2018-08-13,21
2018-08-14,24
2018-08-15,22
2018-08-16,27
2018-08-17,29
2018-08-18,8
2018-08-19,5
2018-08-20,23
2018-08-21,27
2018-08-22,24
2018-08-23,22
2018-08-24,22
2018-08-25,6
2018-08-26,4
2018-08-27,23
2018-08-28,27
2018-08-29,29
2018-08-30,31
2018-08-31,29
2018-09-01,7
2018-09-02,4
2018-09-03,8
2018-09-04,28
2018-09-05,24
2018-09-06,24
2018-09-07,24
2018-09-08,7
2018-09-09,5
2018-09-10,23
2018-09-11,28
2018-09-12,50
2018-09-13,40
2018-09-14,29
2018-09-15,7
2018-09-16,4
2018-09-17,26
2018-09-18,29
2018-09-19,23
2018-09-20,23
2018-09-21,23
2018-09-22,6
2018-09-23,4
2018-09-24,22
2018-09-25,23
2018-09-26,22
2018-09-27,25
2018-09-28,24
2018-09-29,6
2018-09-30,4
2018-10-01,24
