date,GOOG
2012-10-01,72
2012-10-02,70
2012-10-03,68
2012-10-04,71
2012-10-05,69
2012-10-06,65
2012-10-07,68
2012-10-08,72
2012-10-09,72
2012-10-10,69
2012-10-11,73
2012-10-12,71
2012-10-13,65
2012-10-14,61
2012-10-15,72
2012-10-16,67
2012-10-17,67
2012-10-18,100
2012-10-19,92
2012-10-20,67
2012-10-21,67
2012-10-22,78
2012-10-23,73
2012-10-24,71
2012-10-25,70
2012-10-26,68
2012-10-27,60
2012-10-28,58
2012-10-29,67
2012-10-30,70
2012-10-31,72
2012-11-01,74
2012-11-02,71
2012-11-03,67
2012-11-04,64
2012-11-05,70
2012-11-06,67
2012-11-07,65
2012-11-08,70
2012-11-09,69
2012-11-10,63
2012-11-11,61
2012-11-12,66
2012-11-13,64
2012-11-14,66
2012-11-15,67
2012-11-16,67
2012-11-17,63
2012-11-18,62
2012-11-19,68
2012-11-20,66
2012-11-21,66
2012-11-22,65
2012-11-23,60
2012-11-24,62
2012-11-25,61
2012-11-26,66
2012-11-27,70
2012-11-28,71
2012-11-29,71
2012-11-30,73
2012-12-01,67
2012-12-02,64
2012-12-03,71
2012-12-04,70
2012-12-05,70
2012-12-06,71
2012-12-07,72
2012-12-08,71
2012-12-09,62
2012-12-10,75
2012-12-11,68
2012-12-12,71
2012-12-13,73
2012-12-14,71
2012-12-15,67
2012-12-16,66
2012-12-17,70
2012-12-18,70
2012-12-19,69
2012-12-20,71
2012-12-21,68
2012-12-22,64
2012-12-23,68
2012-12-24,72
2012-12-25,69
2012-12-26,69
2012-12-27,61
2012-12-28,70
2012-12-29,70
2012-12-30,64
2012-12-31,67
2013-01-01,69
