date,MSFT
2012-10-01,37
2012-10-02,38
2012-10-03,37
2012-10-04,34
2012-10-05,44
2012-10-06,15
2012-10-07,8
2012-10-08,26
2012-10-09,33
2012-10-10,35
2012-10-11,37
2012-10-12,27
2012-10-13,13
2012-10-14,11
2012-10-15,44
2012-10-16,46
2012-10-17,42
2012-10-18,84
2012-10-19,73
2012-10-20,27
2012-10-21,16
2012-10-22,53
2012-10-23,51
2012-10-24,62
2012-10-25,57
2012-10-26,89
2012-10-27,30
2012-10-28,15
2012-10-29,53
2012-10-30,29
2012-10-31,48
2012-11-01,48
2012-11-02,50
2012-11-03,17
2012-11-04,16
2012-11-05,48
2012-11-06,36
2012-11-07,62
2012-11-08,47
2012-11-09,42
2012-11-10,18
2012-11-11,16
2012-11-12,37
2012-11-13,100
2012-11-14,71
2012-11-15,49
2012-11-16,51
2012-11-17,23
2012-11-18,15
2012-11-19,35
2012-11-20,50
2012-11-21,40
2012-11-22,19
2012-11-23,38
2012-11-24,18
2012-11-25,11
2012-11-26,42
2012-11-27,41
2012-11-28,44
2012-11-29,51
2012-11-30,50
2012-12-01,23
2012-12-02,10
2012-12-03,35
2012-12-04,58
2012-12-05,42
2012-12-06,53
2012-12-07,33
2012-12-08,23
2012-12-09,16
2012-12-10,36
2012-12-11,53
2012-12-12,55
2012-12-13,38
2012-12-14,36
2012-12-15,19
2012-12-16,17
2012-12-17,40
2012-12-18,36
2012-12-19,37
2012-12-20,35
2012-12-21,41
2012-12-22,15
2012-12-23,10
2012-12-24,24
2012-12-25,16
2012-12-26,28
2012-12-27,31
2012-12-28,29
2012-12-29,26
2012-12-30,10
2012-12-31,32
2013-01-01,23
