date,GOOG
2014-01-01,78
2014-01-02,85
2014-01-03,78
2014-01-04,75
2014-01-05,73
2014-01-06,83
2014-01-07,87
2014-01-08,83
2014-01-09,83
2014-01-10,82
2014-01-11,77
2014-01-12,76
2014-01-13,88
2014-01-14,86
2014-01-15,89
2014-01-16,85
2014-01-17,84
2014-01-18,76
2014-01-19,73
2014-01-20,79
2014-01-21,84
2014-01-22,84
2014-01-23,83
2014-01-24,85
2014-01-25,78
2014-01-26,75
2014-01-27,87
2014-01-28,86
2014-01-29,91
2014-01-30,100
2014-01-31,100
2014-02-01,79
2014-02-02,80
2014-02-03,90
2014-02-04,89
2014-02-05,84
2014-02-06,85
2014-02-07,92
2014-02-08,75
2014-02-09,78
2014-02-10,85
2014-02-11,89
2014-02-12,95
2014-02-13,86
2014-02-14,92
2014-02-15,76
2014-02-16,77
2014-02-17,81
2014-02-18,88
2014-02-19,84
2014-02-20,89
2014-02-21,84
2014-02-22,78
2014-02-23,74
2014-02-24,88
2014-02-25,91
2014-02-26,92
2014-02-27,90
2014-02-28,87
2014-03-01,77
2014-03-02,75
2014-03-03,88
2014-03-04,86
2014-03-05,86
2014-03-06,87
2014-03-07,91
2014-03-08,83
2014-03-09,78
2014-03-10,95
2014-03-11,93
2014-03-12,93
2014-03-13,93
2014-03-14,90
2014-03-15,78
2014-03-16,75
2014-03-17,90
2014-03-18,90
2014-03-19,88
2014-03-20,95
2014-03-21,85
2014-03-22,74
2014-03-23,75
2014-03-24,86
2014-03-25,93
2014-03-26,88
2014-03-27,93
2014-03-28,87
2014-03-29,76
2014-03-30,78
2014-03-31,90
2014-04-01,90
