date,AMZN
2019-07-01,51
2019-07-02,50
2019-07-03,43
2019-07-04,23
2019-07-05,41
2019-07-06,19
2019-07-07,14
2019-07-08,47
2019-07-09,54
2019-07-10,61
2019-07-11,68
2019-07-12,57
2019-07-13,22
2019-07-14,15
2019-07-15,61
2019-07-16,58
2019-07-17,53
2019-07-18,54
2019-07-19,50
2019-07-20,18
2019-07-21,14
2019-07-22,46
2019-07-23,58
2019-07-24,58
2019-07-25,100
2019-07-26,87
2019-07-27,20
2019-07-28,17
2019-07-29,54
2019-07-30,51
2019-07-31,54
2019-08-01,57
2019-08-02,50
2019-08-03,18
2019-08-04,15
2019-08-05,63
2019-08-06,67
2019-08-07,58
2019-08-08,55
2019-08-09,46
2019-08-10,17
2019-08-11,14
2019-08-12,47
2019-08-13,48
2019-08-14,60
2019-08-15,65
2019-08-16,48
2019-08-17,17
2019-08-18,14
2019-08-19,44
2019-08-20,44
2019-08-21,44
2019-08-22,40
2019-08-23,47
2019-08-24,18
2019-08-25,15
2019-08-26,46
2019-08-27,45
2019-08-28,40
2019-08-29,43
2019-08-30,42
2019-08-31,14
2019-09-01,9
2019-09-02,16
2019-09-03,39
2019-09-04,46
2019-09-05,43
2019-09-06,45
2019-09-07,17
2019-09-08,12
2019-09-09,40
2019-09-10,38
2019-09-11,38
2019-09-12,43
2019-09-13,38
2019-09-14,16
2019-09-15,12
2019-09-16,38
2019-09-17,38
2019-09-18,37
2019-09-19,40
2019-09-20,39
2019-09-21,13
2019-09-22,12
2019-09-23,33
2019-09-24,43
2019-09-25,43
2019-09-26,41
2019-09-27,41
2019-09-28,13
2019-09-29,12
2019-09-30,36
2019-10-01,37
