date,META
2014-10-01,56
2014-10-02,63
2014-10-03,54
2014-10-04,46
2014-10-05,46
2014-10-06,56
2014-10-07,58
2014-10-08,57
2014-10-09,63
2014-10-10,57
2014-10-11,47
2014-10-12,41
2014-10-13,57
2014-10-14,60
2014-10-15,57
2014-10-16,63
2014-10-17,54
2014-10-18,43
2014-10-19,45
2014-10-20,58
2014-10-21,55
2014-10-22,59
2014-10-23,61
2014-10-24,56
2014-10-25,42
2014-10-26,43
2014-10-27,57
2014-10-28,57
2014-10-29,57
2014-10-30,66
2014-10-31,57
2014-11-01,46
2014-11-02,50
2014-11-03,59
2014-11-04,57
2014-11-05,62
2014-11-06,65
2014-11-07,56
2014-11-08,43
2014-11-09,51
2014-11-10,58
2014-11-11,57
2014-11-12,59
2014-11-13,64
2014-11-14,58
2014-11-15,47
2014-11-16,47
2014-11-17,55
2014-11-18,60
2014-11-19,60
2014-11-20,63
2014-11-21,57
2014-11-22,47
2014-11-23,45
2014-11-24,59
2014-11-25,57
2014-11-26,60
2014-11-27,63
2014-11-28,53
2014-11-29,47
2014-11-30,57
2014-12-01,57
2014-12-02,58
2014-12-03,61
2014-12-04,68
2014-12-05,57
2014-12-06,46
2014-12-07,100
2014-12-08,79
2014-12-09,64
2014-12-10,61
2014-12-11,64
2014-12-12,56
2014-12-13,46
2014-12-14,50
2014-12-15,55
2014-12-16,55
2014-12-17,56
2014-12-18,61
2014-12-19,47
2014-12-20,45
2014-12-21,41
2014-12-22,47
2014-12-23,44
2014-12-24,40
2014-12-25,46
2014-12-26,45
2014-12-27,42
2014-12-28,38
2014-12-29,48
2014-12-30,45
2014-12-31,41
2015-01-01,51
