date,GOOG
2022-01-01,29
2022-01-02,29
2022-01-03,39
2022-01-04,33
2022-01-05,33
2022-01-06,36
2022-01-07,35
2022-01-08,33
2022-01-09,30
2022-01-10,41
2022-01-11,39
2022-01-12,40
2022-01-13,33
2022-01-14,33
2022-01-15,31
2022-01-16,25
2022-01-17,35
2022-01-18,35
2022-01-19,36
2022-01-20,35
2022-01-21,43
2022-01-22,32
2022-01-23,30
2022-01-24,39
2022-01-25,39
2022-01-26,37
2022-01-27,35
2022-01-28,42
2022-01-29,33
2022-01-30,29
2022-01-31,48
2022-02-01,68
2022-02-02,100
2022-02-03,71
2022-02-04,56
2022-02-05,34
2022-02-06,33
2022-02-07,48
2022-02-08,51
2022-02-09,45
2022-02-10,40
2022-02-11,46
2022-02-12,29
2022-02-13,32
2022-02-14,45
2022-02-15,43
2022-02-16,38
2022-02-17,41
2022-02-18,42
2022-02-19,30
2022-02-20,28
2022-02-21,37
2022-02-22,42
2022-02-23,43
2022-02-24,50
2022-02-25,44
2022-02-26,30
2022-02-27,29
2022-02-28,44
2022-03-01,42
2022-03-02,42
2022-03-03,41
2022-03-04,40
2022-03-05,31
2022-03-06,28
2022-03-07,44
2022-03-08,43
2022-03-09,42
2022-03-10,44
2022-03-11,39
2022-03-12,30
2022-03-13,30
2022-03-14,43
2022-03-15,41
2022-03-16,40
2022-03-17,45
2022-03-18,41
2022-03-19,30
2022-03-20,30
2022-03-21,43
2022-03-22,43
2022-03-23,42
2022-03-24,40
2022-03-25,38
2022-03-26,29
2022-03-27,27
2022-03-28,44
2022-03-29,43
2022-03-30,41
2022-03-31,39
2022-04-01,38
