date,AAPL
2019-07-01,36
2019-07-02,32
2019-07-03,29
2019-07-04,11
2019-07-05,25
2019-07-06,7
2019-07-07,4
2019-07-08,37
2019-07-09,33
2019-07-10,28
2019-07-11,34
2019-07-12,28
2019-07-13,6
2019-07-14,4
2019-07-15,28
2019-07-16,28
2019-07-17,28
2019-07-18,30
2019-07-19,24
2019-07-20,8
2019-07-21,4
2019-07-22,27
2019-07-23,35
2019-07-24,29
2019-07-25,32
2019-07-26,32
2019-07-27,8
2019-07-28,6
2019-07-29,35
2019-07-30,84
2019-07-31,100
2019-08-01,52
2019-08-02,42
2019-08-03,9
2019-08-04,5
2019-08-05,46
2019-08-06,47
2019-08-07,34
2019-08-08,33
2019-08-09,29
2019-08-10,8
2019-08-11,6
2019-08-12,30
2019-08-13,46
2019-08-14,46
2019-08-15,39
2019-08-16,32
2019-08-17,10
2019-08-18,5
2019-08-19,36
2019-08-20,37
2019-08-21,35
2019-08-22,32
2019-08-23,39
2019-08-24,10
2019-08-25,6
2019-08-26,33
2019-08-27,32
2019-08-28,26
2019-08-29,30
2019-08-30,28
2019-08-31,8
2019-09-01,4
2019-09-02,9
2019-09-03,24
2019-09-04,29
2019-09-05,30
2019-09-06,29
2019-09-07,6
2019-09-08,5
2019-09-09,32
2019-09-10,55
2019-09-11,51
2019-09-12,48
2019-09-13,41
2019-09-14,9
2019-09-15,6
2019-09-16,33
2019-09-17,31
2019-09-18,32
2019-09-19,30
2019-09-20,30
2019-09-21,8
2019-09-22,5
2019-09-23,26
2019-09-24,26
2019-09-25,26
2019-09-26,25
2019-09-27,25
2019-09-28,7
2019-09-29,6
2019-09-30,29
2019-10-01,35
