date,META
2021-04-01,89
2021-04-02,69
2021-04-03,66
2021-04-04,67
2021-04-05,74
2021-04-06,71
2021-04-07,67
2021-04-08,85
2021-04-09,70
2021-04-10,65
2021-04-11,68
2021-04-12,69
2021-04-13,74
2021-04-14,71
2021-04-15,89
2021-04-16,74
2021-04-17,63
2021-04-18,61
2021-04-19,71
2021-04-20,73
2021-04-21,72
2021-04-22,100
2021-04-23,91
2021-04-24,75
2021-04-25,75
2021-04-26,78
2021-04-27,78
2021-04-28,83
2021-04-29,93
2021-04-30,79
2021-05-01,71
2021-05-02,67
2021-05-03,75
2021-05-04,70
2021-05-05,73
2021-05-06,89
2021-05-07,70
2021-05-08,66
2021-05-09,65
2021-05-10,71
2021-05-11,75
2021-05-12,78
2021-05-13,93
2021-05-14,69
2021-05-15,64
2021-05-16,62
2021-05-17,71
2021-05-18,68
2021-05-19,77
2021-05-20,87
2021-05-21,76
2021-05-22,66
2021-05-23,64
2021-05-24,73
2021-05-25,76
2021-05-26,70
2021-05-27,87
2021-05-28,72
2021-05-29,65
2021-05-30,61
2021-05-31,77
2021-06-01,75
2021-06-02,75
2021-06-03,84
2021-06-04,71
2021-06-05,66
2021-06-06,63
2021-06-07,65
2021-06-08,70
2021-06-09,77
2021-06-10,87
2021-06-11,70
2021-06-12,64
2021-06-13,58
2021-06-14,70
2021-06-15,69
2021-06-16,71
2021-06-17,88
2021-06-18,74
2021-06-19,69
2021-06-20,67
2021-06-21,73
2021-06-22,75
2021-06-23,70
2021-06-24,87
2021-06-25,75
2021-06-26,66
2021-06-27,64
2021-06-28,66
2021-06-29,67
2021-06-30,77
2021-07-01,92
