date,AAPL
2017-04-01,7
2017-04-02,5
2017-04-03,27
2017-04-04,26
2017-04-05,31
2017-04-06,25
2017-04-07,26
2017-04-08,7
2017-04-09,3
2017-04-10,20
2017-04-11,25
2017-04-12,22
2017-04-13,22
2017-04-14,14
2017-04-15,6
2017-04-16,4
2017-04-17,26
2017-04-18,24
2017-04-19,21
2017-04-20,25
2017-04-21,23
2017-04-22,6
2017-04-23,3
2017-04-24,27
2017-04-25,29
2017-04-26,26
2017-04-27,26
2017-04-28,26
2017-04-29,6
2017-04-30,7
2017-05-01,41
2017-05-02,100
2017-05-03,84
2017-05-04,39
2017-05-05,36
2017-05-06,12
2017-05-07,7
2017-05-08,48
2017-05-09,51
2017-05-10,42
2017-05-11,32
2017-05-12,39
2017-05-13,13
2017-05-14,7
2017-05-15,37
2017-05-16,32
2017-05-17,40
2017-05-18,37
2017-05-19,34
2017-05-20,9
2017-05-21,6
2017-05-22,30
2017-05-23,29
2017-05-24,30
2017-05-25,29
2017-05-26,26
2017-05-27,9
2017-05-28,6
2017-05-29,6
2017-05-30,24
2017-05-31,24
2017-06-01,23
2017-06-02,28
2017-06-03,7
2017-06-04,5
2017-06-05,47
2017-06-06,38
2017-06-07,28
2017-06-08,27
2017-06-09,38
2017-06-10,13
2017-06-11,7
2017-06-12,49
2017-06-13,42
2017-06-14,36
2017-06-15,36
2017-06-16,31
2017-06-17,8
2017-06-18,4
2017-06-19,37
2017-06-20,32
2017-06-21,25
2017-06-22,27
2017-06-23,23
2017-06-24,6
2017-06-25,5
2017-06-26,24
2017-06-27,26
2017-06-28,26
2017-06-29,26
2017-06-30,24
2017-07-01,6
