date,GOOG
2012-07-01,96
2012-07-02,89
2012-07-03,91
2012-07-04,86
2012-07-05,87
2012-07-06,90
2012-07-07,92
2012-07-08,84
2012-07-09,85
2012-07-10,85
2012-07-11,86
2012-07-12,82
2012-07-13,90
2012-07-14,89
2012-07-15,89
2012-07-16,83
2012-07-17,91
2012-07-18,85
2012-07-19,89
2012-07-20,91
2012-07-21,89
2012-07-22,87
2012-07-23,93
2012-07-24,89
2012-07-25,86
2012-07-26,89
2012-07-27,100
2012-07-28,92
2012-07-29,89
2012-07-30,85
2012-07-31,92
2012-08-01,92
2012-08-02,89
2012-08-03,87
2012-08-04,90
2012-08-05,84
2012-08-06,81
2012-08-07,92
2012-08-08,92
2012-08-09,94
2012-08-10,88
2012-08-11,88
2012-08-12,88
2012-08-13,88
2012-08-14,91
2012-08-15,84
2012-08-16,83
2012-08-17,87
2012-08-18,86
2012-08-19,87
2012-08-20,94
2012-08-21,83
2012-08-22,92
2012-08-23,85
2012-08-24,87
2012-08-25,91
2012-08-26,83
2012-08-27,94
2012-08-28,97
2012-08-29,89
2012-08-30,89
2012-08-31,90
2012-09-01,85
2012-09-02,86
2012-09-03,85
2012-09-04,93
2012-09-05,89
2012-09-06,86
2012-09-07,97
2012-09-08,92
2012-09-09,88
2012-09-10,89
2012-09-11,93
2012-09-12,92
2012-09-13,95
2012-09-14,97
2012-09-15,90
2012-09-16,84
2012-09-17,92
2012-09-18,89
2012-09-19,94
2012-09-20,100
2012-09-21,98
2012-09-22,90
2012-09-23,81
2012-09-24,95
2012-09-25,97
2012-09-26,93
2012-09-27,100
2012-09-28,97
2012-09-29,93
2012-09-30,89
2012-10-01,99
