date,MSFT
2022-01-01,8
2022-01-02,5
2022-01-03,25
2022-01-04,23
2022-01-05,26
2022-01-06,29
2022-01-07,26
2022-01-08,10
2022-01-09,6
2022-01-10,31
2022-01-11,27
2022-01-12,25
2022-01-13,25
2022-01-14,28
2022-01-15,8
2022-01-16,5
2022-01-17,10
2022-01-18,56
2022-01-19,41
2022-01-20,34
2022-01-21,38
2022-01-22,14
2022-01-23,10
2022-01-24,54
2022-01-25,98
2022-01-26,100
2022-01-27,46
2022-01-28,41
2022-01-29,13
2022-01-30,9
2022-01-31,34
2022-02-01,32
2022-02-02,36
2022-02-03,40
2022-02-04,31
2022-02-05,12
2022-02-06,6
2022-02-07,26
2022-02-08,31
2022-02-09,26
2022-02-10,26
2022-02-11,28
2022-02-12,10
2022-02-13,6
2022-02-14,29
2022-02-15,28
2022-02-16,26
2022-02-17,26
2022-02-18,29
2022-02-19,9
2022-02-20,6
2022-02-21,11
2022-02-22,31
2022-02-23,26
2022-02-24,44
2022-02-25,30
2022-02-26,10
2022-02-27,6
2022-02-28,29
2022-03-01,24
2022-03-02,26
2022-03-03,24
2022-03-04,25
2022-03-05,8
2022-03-06,5
2022-03-07,31
2022-03-08,29
2022-03-09,24
2022-03-10,25
2022-03-11,25
2022-03-12,9
2022-03-13,6
2022-03-14,25
2022-03-15,23
2022-03-16,26
2022-03-17,26
2022-03-18,25
2022-03-19,9
2022-03-20,6
2022-03-21,24
2022-03-22,22
2022-03-23,22
2022-03-24,22
2022-03-25,22
2022-03-26,7
2022-03-27,5
2022-03-28,26
2022-03-29,29
2022-03-30,24
2022-03-31,22
2022-04-01,21
