date,GOOG
2017-01-01,62
2017-01-02,72
2017-01-03,78
2017-01-04,77
2017-01-05,84
2017-01-06,79
2017-01-07,63
2017-01-08,67
2017-01-09,80
2017-01-10,84
2017-01-11,85
2017-01-12,79
2017-01-13,76
2017-01-14,63
2017-01-15,63
2017-01-16,79
2017-01-17,82
2017-01-18,81
2017-01-19,77
2017-01-20,77
2017-01-21,60
2017-01-22,61
2017-01-23,80
2017-01-24,80
2017-01-25,86
2017-01-26,100
2017-01-27,98
2017-01-28,67
2017-01-29,63
2017-01-30,82
2017-01-31,82
2017-02-01,83
2017-02-02,80
2017-02-03,86
2017-02-04,61
2017-02-05,60
2017-02-06,77
2017-02-07,79
2017-02-08,77
2017-02-09,81
2017-02-10,72
2017-02-11,60
2017-02-12,64
2017-02-13,79
2017-02-14,71
2017-02-15,79
2017-02-16,84
2017-02-17,74
2017-02-18,60
2017-02-19,61
2017-02-20,73
2017-02-21,78
2017-02-22,76
2017-02-23,83
2017-02-24,78
2017-02-25,65
2017-02-26,60
2017-02-27,74
2017-02-28,80
2017-03-01,75
2017-03-02,78
2017-03-03,80
2017-03-04,58
2017-03-05,62
2017-03-06,74
2017-03-07,73
2017-03-08,81
2017-03-09,78
2017-03-10,79
2017-03-11,62
2017-03-12,54
2017-03-13,75
2017-03-14,75
2017-03-15,78
2017-03-16,78
2017-03-17,75
2017-03-18,59
2017-03-19,62
2017-03-20,78
2017-03-21,79
2017-03-22,79
2017-03-23,78
2017-03-24,79
2017-03-25,60
2017-03-26,58
2017-03-27,79
2017-03-28,73
2017-03-29,79
2017-03-30,76
2017-03-31,77
2017-04-01,58
