date,AMZN
2014-01-01,6
2014-01-02,21
2014-01-03,16
2014-01-04,7
2014-01-05,7
2014-01-06,19
2014-01-07,17
2014-01-08,17
2014-01-09,13
2014-01-10,14
2014-01-11,7
2014-01-12,5
2014-01-13,15
2014-01-14,16
2014-01-15,17
2014-01-16,17
2014-01-17,17
2014-01-18,6
2014-01-19,6
2014-01-20,8
2014-01-21,17
2014-01-22,18
2014-01-23,20
2014-01-24,23
2014-01-25,7
2014-01-26,4
2014-01-27,19
2014-01-28,24
2014-01-29,23
2014-01-30,68
2014-01-31,100
2014-02-01,38
2014-02-02,13
2014-02-03,45
2014-02-04,37
2014-02-05,28
2014-02-06,20
2014-02-07,29
2014-02-08,8
2014-02-09,5
2014-02-10,26
2014-02-11,20
2014-02-12,33
2014-02-13,24
2014-02-14,15
2014-02-15,7
2014-02-16,5
2014-02-17,11
2014-02-18,23
2014-02-19,20
2014-02-20,21
2014-02-21,21
2014-02-22,6
2014-02-23,4
2014-02-24,20
2014-02-25,19
2014-02-26,25
2014-02-27,19
2014-02-28,21
2014-03-01,7
2014-03-02,3
2014-03-03,16
2014-03-04,18
2014-03-05,19
2014-03-06,18
2014-03-07,13
2014-03-08,6
2014-03-09,4
2014-03-10,17
2014-03-11,16
2014-03-12,15
2014-03-13,25
2014-03-14,23
2014-03-15,7
2014-03-16,4
2014-03-17,18
2014-03-18,14
2014-03-19,15
2014-03-20,19
2014-03-21,14
2014-03-22,6
2014-03-23,4
2014-03-24,16
2014-03-25,16
2014-03-26,18
2014-03-27,20
2014-03-28,19
2014-03-29,8
2014-03-30,5
2014-03-31,15
2014-04-01,17
