date,AMZN
2016-07-01,19
2016-07-02,5
2016-07-03,5
2016-07-04,7
2016-07-05,17
2016-07-06,22
2016-07-07,22
2016-07-08,23
2016-07-09,8
2016-07-10,7
2016-07-11,30
2016-07-12,38
2016-07-13,34
2016-07-14,21
2016-07-15,22
2016-07-16,6
2016-07-17,5
2016-07-18,21
2016-07-19,24
2016-07-20,22
2016-07-21,21
2016-07-22,20
2016-07-23,7
2016-07-24,6
2016-07-25,22
2016-07-26,23
2016-07-27,29
2016-07-28,100
2016-07-29,81
2016-07-30,14
2016-07-31,8
2016-08-01,30
2016-08-02,26
2016-08-03,24
2016-08-04,19
2016-08-05,23
2016-08-06,7
2016-08-07,4
2016-08-08,23
2016-08-09,21
2016-08-10,18
2016-08-11,18
2016-08-12,18
2016-08-13,5
2016-08-14,4
2016-08-15,17
2016-08-16,17
2016-08-17,14
2016-08-18,13
2016-08-19,14
2016-08-20,5
2016-08-21,3
2016-08-22,11
2016-08-23,15
2016-08-24,14
2016-08-25,15
2016-08-26,14
2016-08-27,5
2016-08-28,4
2016-08-29,14
2016-08-30,15
2016-08-31,17
2016-09-01,14
2016-09-02,15
2016-09-03,5
2016-09-04,4
2016-09-05,4
2016-09-06,19
2016-09-07,24
2016-09-08,17
2016-09-09,20
2016-09-10,7
2016-09-11,4
2016-09-12,18
2016-09-13,18
2016-09-14,15
2016-09-15,19
2016-09-16,17
2016-09-17,7
2016-09-18,5
2016-09-19,17
2016-09-20,14
2016-09-21,17
2016-09-22,29
2016-09-23,27
2016-09-24,8
2016-09-25,6
2016-09-26,18
2016-09-27,26
2016-09-28,27
2016-09-29,30
2016-09-30,25
2016-10-01,10
