date,META
2016-07-01,83
2016-07-02,64
2016-07-03,64
2016-07-04,81
2016-07-05,82
2016-07-06,82
2016-07-07,85
2016-07-08,80
2016-07-09,64
2016-07-10,56
2016-07-11,79
2016-07-12,75
2016-07-13,80
2016-07-14,84
2016-07-15,75
2016-07-16,60
2016-07-17,62
2016-07-18,80
2016-07-19,82
2016-07-20,82
2016-07-21,79
2016-07-22,74
2016-07-23,65
2016-07-24,62
2016-07-25,87
2016-07-26,80
2016-07-27,78
2016-07-28,88
2016-07-29,78
2016-07-30,64
2016-07-31,63
2016-08-01,81
2016-08-02,83
2016-08-03,81
2016-08-04,91
2016-08-05,80
2016-08-06,66
2016-08-07,63
2016-08-08,78
2016-08-09,74
2016-08-10,78
2016-08-11,83
2016-08-12,78
2016-08-13,65
2016-08-14,64
2016-08-15,74
2016-08-16,84
2016-08-17,81
2016-08-18,91
2016-08-19,82
2016-08-20,60
2016-08-21,62
2016-08-22,78
2016-08-23,86
2016-08-24,82
2016-08-25,92
2016-08-26,84
2016-08-27,66
2016-08-28,67
2016-08-29,87
2016-08-30,79
2016-08-31,80
2016-09-01,95
2016-09-02,84
2016-09-03,64
2016-09-04,66
2016-09-05,78
2016-09-06,86
2016-09-07,77
2016-09-08,100
2016-09-09,84
2016-09-10,67
2016-09-11,67
2016-09-12,84
2016-09-13,85
2016-09-14,82
2016-09-15,90
2016-09-16,79
2016-09-17,61
2016-09-18,66
2016-09-19,85
2016-09-20,78
2016-09-21,84
2016-09-22,90
2016-09-23,72
2016-09-24,61
2016-09-25,69
2016-09-26,78
2016-09-27,80
2016-09-28,86
2016-09-29,100
2016-09-30,81
2016-10-01,61
