date,META
2012-04-01,54
2012-04-02,64
2012-04-03,64
2012-04-04,65
2012-04-05,61
2012-04-06,58
2012-04-07,52
2012-04-08,56
2012-04-09,63
2012-04-10,66
2012-04-11,69
2012-04-12,70
2012-04-13,64
2012-04-14,58
2012-04-15,66
2012-04-16,69
2012-04-17,72
2012-04-18,61
2012-04-19,74
2012-04-20,70
2012-04-21,59
2012-04-22,66
2012-04-23,100
2012-04-24,93
2012-04-25,92
2012-04-26,88
2012-04-27,72
2012-04-28,59
2012-04-29,59
2012-04-30,64
2012-05-01,62
2012-05-02,70
2012-05-03,72
2012-05-04,63
2012-05-05,57
2012-05-06,56
2012-05-07,68
2012-05-08,66
2012-05-09,68
2012-05-10,67
2012-05-11,70
2012-05-12,58
2012-05-13,60
2012-05-14,63
2012-05-15,80
2012-05-16,71
2012-05-17,71
2012-05-18,65
2012-05-19,61
2012-05-20,63
2012-05-21,63
2012-05-22,71
2012-05-23,73
2012-05-24,74
2012-05-25,64
2012-05-26,53
2012-05-27,52
2012-05-28,66
2012-05-29,75
2012-05-30,68
2012-05-31,72
2012-06-01,63
2012-06-02,60
2012-06-03,57
2012-06-04,64
2012-06-05,59
2012-06-06,62
2012-06-07,66
2012-06-08,64
2012-06-09,49
2012-06-10,48
2012-06-11,63
2012-06-12,65
2012-06-13,63
2012-06-14,67
2012-06-15,66
2012-06-16,52
2012-06-17,51
2012-06-18,64
2012-06-19,67
2012-06-20,71
2012-06-21,65
2012-06-22,63
2012-06-23,52
2012-06-24,49
2012-06-25,63
2012-06-26,66
2012-06-27,62
2012-06-28,68
2012-06-29,61
2012-06-30,55
2012-07-01,46
