date,META
2017-07-01,66
2017-07-02,67
2017-07-03,82
2017-07-04,81
2017-07-05,77
2017-07-06,90
2017-07-07,80
2017-07-08,66
2017-07-09,67
2017-07-10,81
2017-07-11,92
2017-07-12,83
2017-07-13,97
2017-07-14,81
2017-07-15,62
2017-07-16,66
2017-07-17,76
2017-07-18,82
2017-07-19,84
2017-07-20,92
2017-07-21,75
2017-07-22,68
2017-07-23,65
2017-07-24,82
2017-07-25,96
2017-07-26,83
2017-07-27,96
2017-07-28,82
2017-07-29,72
2017-07-30,71
2017-07-31,88
2017-08-01,88
2017-08-02,84
2017-08-03,95
2017-08-04,77
2017-08-05,72
2017-08-06,63
2017-08-07,83
2017-08-08,83
2017-08-09,86
2017-08-10,97
2017-08-11,88
2017-08-12,79
2017-08-13,73
2017-08-14,97
2017-08-15,95
2017-08-16,95
2017-08-17,98
2017-08-18,79
2017-08-19,78
2017-08-20,70
2017-08-21,79
2017-08-22,91
2017-08-23,92
2017-08-24,98
2017-08-25,81
2017-08-26,70
2017-08-27,69
2017-08-28,81
2017-08-29,84
2017-08-30,86
2017-08-31,96
2017-09-01,83
2017-09-02,65
2017-09-03,66
2017-09-04,80
2017-09-05,82
2017-09-06,83
2017-09-07,93
2017-09-08,83
2017-09-09,59
2017-09-10,74
2017-09-11,84
2017-09-12,80
2017-09-13,85
2017-09-14,100
2017-09-15,87
2017-09-16,69
2017-09-17,70
2017-09-18,88
2017-09-19,94
2017-09-20,81
2017-09-21,95
2017-09-22,80
2017-09-23,66
2017-09-24,70
2017-09-25,87
2017-09-26,87
2017-09-27,87
2017-09-28,98
2017-09-29,79
2017-09-30,74
2017-10-01,74
