date,AAPL
2015-07-01,27
2015-07-02,23
2015-07-03,11
2015-07-04,4
2015-07-05,4
2015-07-06,24
2015-07-07,29
2015-07-08,29
2015-07-09,34
2015-07-10,35
2015-07-11,9
2015-07-12,6
2015-07-13,30
2015-07-14,31
2015-07-15,26
2015-07-16,31
2015-07-17,37
2015-07-18,14
2015-07-19,7
2015-07-20,41
2015-07-21,94
2015-07-22,100
2015-07-23,49
2015-07-24,36
2015-07-25,11
2015-07-26,7
2015-07-27,34
2015-07-28,30
2015-07-29,28
2015-07-30,29
2015-07-31,27
2015-08-01,9
2015-08-02,7
2015-08-03,33
2015-08-04,50
2015-08-05,53
2015-08-06,44
2015-08-07,37
2015-08-08,9
2015-08-09,8
2015-08-10,37
2015-08-11,45
2015-08-12,46
2015-08-13,39
2015-08-14,34
2015-08-15,11
2015-08-16,6
2015-08-17,31
2015-08-18,26
2015-08-19,28
2015-08-20,30
2015-08-21,50
2015-08-22,20
2015-08-23,11
2015-08-24,93
2015-08-25,84
2015-08-26,62
2015-08-27,57
2015-08-28,45
2015-08-29,10
2015-08-30,8
2015-08-31,37
2015-09-01,41
2015-09-02,40
2015-09-03,38
2015-09-04,29
2015-09-05,10
2015-09-06,6
2015-09-07,10
2015-09-08,40
2015-09-09,74
2015-09-10,56
2015-09-11,39
2015-09-12,13
2015-09-13,8
2015-09-14,40
2015-09-15,36
2015-09-16,35
2015-09-17,36
2015-09-18,34
2015-09-19,8
2015-09-20,6
2015-09-21,31
2015-09-22,30
2015-09-23,27
2015-09-24,25
2015-09-25,28
2015-09-26,10
2015-09-27,6
2015-09-28,31
2015-09-29,34
2015-09-30,33
2015-10-01,30
