date,MSFT
2012-07-01,8
2012-07-02,47
2012-07-03,58
2012-07-04,21
2012-07-05,33
2012-07-06,37
2012-07-07,14
2012-07-08,15
2012-07-09,31
2012-07-10,40
2012-07-11,34
2012-07-12,44
2012-07-13,35
2012-07-14,9
2012-07-15,10
2012-07-16,33
2012-07-17,41
2012-07-18,38
2012-07-19,100
2012-07-20,89
2012-07-21,21
2012-07-22,13
2012-07-23,38
2012-07-24,38
2012-07-25,34
2012-07-26,45
2012-07-27,45
2012-07-28,28
2012-07-29,16
2012-07-30,29
2012-07-31,45
2012-08-01,41
2012-08-02,32
2012-08-03,46
2012-08-04,12
2012-08-05,13
2012-08-06,39
2012-08-07,40
2012-08-08,32
2012-08-09,37
2012-08-10,29
2012-08-11,12
2012-08-12,14
2012-08-13,30
2012-08-14,33
2012-08-15,39
2012-08-16,31
2012-08-17,35
2012-08-18,21
2012-08-19,12
2012-08-20,42
2012-08-21,41
2012-08-22,46
2012-08-23,21
2012-08-24,47
2012-08-25,17
2012-08-26,10
2012-08-27,36
2012-08-28,33
2012-08-29,40
2012-08-30,38
2012-08-31,28
2012-09-01,20
2012-09-02,14
2012-09-03,23
2012-09-04,37
2012-09-05,47
2012-09-06,43
2012-09-07,43
2012-09-08,19
2012-09-09,11
2012-09-10,35
2012-09-11,33
2012-09-12,35
2012-09-13,43
2012-09-14,38
2012-09-15,19
2012-09-16,15
2012-09-17,40
2012-09-18,54
2012-09-19,32
2012-09-20,44
2012-09-21,37
2012-09-22,11
2012-09-23,13
2012-09-24,28
2012-09-25,39
2012-09-26,37
2012-09-27,51
2012-09-28,38
2012-09-29,20
2012-09-30,9
2012-10-01,42
