date,AMZN
2017-04-01,12
2017-04-02,8
2017-04-03,23
2017-04-04,37
2017-04-05,44
2017-04-06,36
2017-04-07,29
2017-04-08,7
2017-04-09,7
2017-04-10,28
2017-04-11,24
2017-04-12,27
2017-04-13,23
2017-04-14,13
2017-04-15,5
2017-04-16,3
2017-04-17,27
2017-04-18,27
2017-04-19,22
2017-04-20,22
2017-04-21,22
2017-04-22,6
2017-04-23,4
2017-04-24,27
2017-04-25,29
2017-04-26,33
2017-04-27,90
2017-04-28,85
2017-04-29,14
2017-04-30,9
2017-05-01,41
2017-05-02,37
2017-05-03,30
2017-05-04,29
2017-05-05,25
2017-05-06,8
2017-05-07,6
2017-05-08,29
2017-05-09,34
2017-05-10,29
2017-05-11,25
2017-05-12,32
2017-05-13,10
2017-05-14,7
2017-05-15,27
2017-05-16,35
2017-05-17,33
2017-05-18,31
2017-05-19,28
2017-05-20,9
2017-05-21,5
2017-05-22,28
2017-05-23,30
2017-05-24,30
2017-05-25,53
2017-05-26,44
2017-05-27,10
2017-05-28,7
2017-05-29,10
2017-05-30,52
2017-05-31,43
2017-06-01,39
2017-06-02,37
2017-06-03,12
2017-06-04,7
2017-06-05,33
2017-06-06,35
2017-06-07,29
2017-06-08,32
2017-06-09,43
2017-06-10,14
2017-06-11,10
2017-06-12,42
2017-06-13,38
2017-06-14,36
2017-06-15,35
2017-06-16,100
2017-06-17,23
2017-06-18,12
2017-06-19,47
2017-06-20,40
2017-06-21,36
2017-06-22,34
2017-06-23,35
2017-06-24,9
2017-06-25,8
2017-06-26,34
2017-06-27,30
2017-06-28,34
2017-06-29,37
2017-06-30,30
2017-07-01,8
