date,GOOG
2016-10-01,60
2016-10-02,65
2016-10-03,77
2016-10-04,87
2016-10-05,79
2016-10-06,76
2016-10-07,76
2016-10-08,63
2016-10-09,62
2016-10-10,78
2016-10-11,84
2016-10-12,84
2016-10-13,80
2016-10-14,79
2016-10-15,63
2016-10-16,58
2016-10-17,84
2016-10-18,84
2016-10-19,84
2016-10-20,81
2016-10-21,76
2016-10-22,61
2016-10-23,61
2016-10-24,78
2016-10-25,88
2016-10-26,85
2016-10-27,100
2016-10-28,90
2016-10-29,66
2016-10-30,59
2016-10-31,79
2016-11-01,80
2016-11-02,86
2016-11-03,78
2016-11-04,81
2016-11-05,64
2016-11-06,60
2016-11-07,81
2016-11-08,83
2016-11-09,95
2016-11-10,91
2016-11-11,80
2016-11-12,60
2016-11-13,62
2016-11-14,83
2016-11-15,81
2016-11-16,85
2016-11-17,78
2016-11-18,79
2016-11-19,66
2016-11-20,57
2016-11-21,78
2016-11-22,79
2016-11-23,75
2016-11-24,72
2016-11-25,74
2016-11-26,61
2016-11-27,60
2016-11-28,77
2016-11-29,79
2016-11-30,79
2016-12-01,79
2016-12-02,74
2016-12-03,61
2016-12-04,62
2016-12-05,70
2016-12-06,76
2016-12-07,82
2016-12-08,72
2016-12-09,74
2016-12-10,57
2016-12-11,57
2016-12-12,77
2016-12-13,77
2016-12-14,78
2016-12-15,77
2016-12-16,72
2016-12-17,59
2016-12-18,58
2016-12-19,76
2016-12-20,71
2016-12-21,73
2016-12-22,66
2016-12-23,61
2016-12-24,56
2016-12-25,61
2016-12-26,59
2016-12-27,68
2016-12-28,67
2016-12-29,66
2016-12-30,61
2016-12-31,55
2017-01-01,56
