date,GOOG
2012-01-01,78
2012-01-02,83
2012-01-03,82
2012-01-04,80
2012-01-05,82
2012-01-06,82
2012-01-07,94
2012-01-08,86
2012-01-09,90
2012-01-10,86
2012-01-11,85
2012-01-12,89
2012-01-13,84
2012-01-14,86
2012-01-15,86
2012-01-16,79
2012-01-17,86
2012-01-18,93
2012-01-19,95
2012-01-20,100
2012-01-21,89
2012-01-22,90
2012-01-23,89
2012-01-24,87
2012-01-25,92
2012-01-26,84
2012-01-27,81
2012-01-28,87
2012-01-29,87
2012-01-30,86
2012-01-31,82
2012-02-01,87
2012-02-02,84
2012-02-03,83
2012-02-04,84
2012-02-05,87
2012-02-06,86
2012-02-07,86
2012-02-08,81
2012-02-09,90
2012-02-10,83
2012-02-11,91
2012-02-12,83
2012-02-13,91
2012-02-14,84
2012-02-15,77
2012-02-16,81
2012-02-17,81
2012-02-18,86
2012-02-19,88
2012-02-20,82
2012-02-21,84
2012-02-22,88
2012-02-23,88
2012-02-24,85
2012-02-25,89
2012-02-26,86
2012-02-27,92
2012-02-28,89
2012-02-29,88
2012-03-01,94
2012-03-02,85
2012-03-03,92
2012-03-04,88
2012-03-05,81
2012-03-06,88
2012-03-07,85
2012-03-08,84
2012-03-09,86
2012-03-10,87
2012-03-11,83
2012-03-12,88
2012-03-13,87
2012-03-14,87
2012-03-15,81
2012-03-16,84
2012-03-17,90
2012-03-18,82
2012-03-19,90
2012-03-20,87
2012-03-21,86
2012-03-22,90
2012-03-23,81
2012-03-24,91
2012-03-25,81
2012-03-26,87
2012-03-27,86
2012-03-28,90
2012-03-29,90
2012-03-30,88
2012-03-31,88
2012-04-01,88
