date,AMZN
2015-10-01,19
2015-10-02,18
2015-10-03,6
2015-10-04,5
2015-10-05,19
2015-10-06,21
2015-10-07,18
2015-10-08,20
2015-10-09,17
2015-10-10,7
2015-10-11,7
2015-10-12,15
2015-10-13,19
2015-10-14,22
2015-10-15,23
2015-10-16,20
2015-10-17,8
2015-10-18,7
2015-10-19,22
2015-10-20,22
2015-10-21,23
2015-10-22,85
2015-10-23,100
2015-10-24,17
2015-10-25,10
2015-10-26,37
2015-10-27,33
2015-10-28,23
2015-10-29,27
2015-10-30,25
2015-10-31,10
2015-11-01,7
2015-11-02,26
2015-11-03,24
2015-11-04,26
2015-11-05,32
2015-11-06,32
2015-11-07,9
2015-11-08,6
2015-11-09,25
2015-11-10,26
2015-11-11,27
2015-11-12,29
2015-11-13,29
2015-11-14,12
2015-11-15,8
2015-11-16,27
2015-11-17,29
2015-11-18,29
2015-11-19,32
2015-11-20,24
2015-11-21,10
2015-11-22,9
2015-11-23,21
2015-11-24,33
2015-11-25,22
2015-11-26,8
2015-11-27,21
2015-11-28,11
2015-11-29,10
2015-11-30,32
2015-12-01,28
2015-12-02,24
2015-12-03,24
2015-12-04,28
2015-12-05,9
2015-12-06,6
2015-12-07,21
2015-12-08,22
2015-12-09,21
2015-12-10,23
2015-12-11,23
2015-12-12,7
2015-12-13,5
2015-12-14,18
2015-12-15,27
2015-12-16,27
2015-12-17,30
2015-12-18,27
2015-12-19,8
2015-12-20,6
2015-12-21,19
2015-12-22,23
2015-12-23,20
2015-12-24,15
2015-12-25,7
2015-12-26,8
2015-12-27,8
2015-12-28,27
2015-12-29,32
2015-12-30,36
2015-12-31,29
2016-01-01,12
