date,AAPL
2017-01-01,4
2017-01-02,8
2017-01-03,19
2017-01-04,18
2017-01-05,19
2017-01-06,23
2017-01-07,7
2017-01-08,5
2017-01-09,22
2017-01-10,25
2017-01-11,23
2017-01-12,21
2017-01-13,17
2017-01-14,6
2017-01-15,4
2017-01-16,9
2017-01-17,21
2017-01-18,24
2017-01-19,19
2017-01-20,21
2017-01-21,4
2017-01-22,5
2017-01-23,21
2017-01-24,22
2017-01-25,26
2017-01-26,25
2017-01-27,21
2017-01-28,10
2017-01-29,7
2017-01-30,28
2017-01-31,83
2017-02-01,100
2017-02-02,47
2017-02-03,32
2017-02-04,9
2017-02-05,6
2017-02-06,25
2017-02-07,30
2017-02-08,27
2017-02-09,27
2017-02-10,28
2017-02-11,8
2017-02-12,5
2017-02-13,32
2017-02-14,37
2017-02-15,37
2017-02-16,32
2017-02-17,27
2017-02-18,7
2017-02-19,4
2017-02-20,11
2017-02-21,28
2017-02-22,27
2017-02-23,27
2017-02-24,25
2017-02-25,8
2017-02-26,4
2017-02-27,25
2017-02-28,28
2017-03-01,35
2017-03-02,32
2017-03-03,28
2017-03-04,6
2017-03-05,4
2017-03-06,23
2017-03-07,23
2017-03-08,21
2017-03-09,21
2017-03-10,22
2017-03-11,6
2017-03-12,3
2017-03-13,19
2017-03-14,20
2017-03-15,25
2017-03-16,21
2017-03-17,21
2017-03-18,5
2017-03-19,4
2017-03-20,24
2017-03-21,32
2017-03-22,25
2017-03-23,23
2017-03-24,22
2017-03-25,6
2017-03-26,4
2017-03-27,23
2017-03-28,26
2017-03-29,27
2017-03-30,26
2017-03-31,21
2017-04-01,6
