date,AAPL
2014-10-01,55
2014-10-02,51
2014-10-03,46
2014-10-04,15
2014-10-05,9
2014-10-06,47
2014-10-07,48
2014-10-08,48
2014-10-09,60
2014-10-10,50
2014-10-11,13
2014-10-12,10
2014-10-13,44
2014-10-14,48
2014-10-15,60
2014-10-16,70
2014-10-17,52
2014-10-18,16
2014-10-19,11
2014-10-20,96
2014-10-21,100
2014-10-22,65
2014-10-23,63
2014-10-24,64
2014-10-25,20
2014-10-26,12
2014-10-27,48
2014-10-28,56
2014-10-29,52
2014-10-30,68
2014-10-31,55
2014-11-01,18
2014-11-02,11
2014-11-03,57
2014-11-04,58
2014-11-05,49
2014-11-06,51
2014-11-07,48
2014-11-08,15
2014-11-09,10
2014-11-10,43
2014-11-11,42
2014-11-12,48
2014-11-13,57
2014-11-14,58
2014-11-15,18
2014-11-16,11
2014-11-17,51
2014-11-18,54
2014-11-19,51
2014-11-20,52
2014-11-21,50
2014-11-22,19
2014-11-23,10
2014-11-24,49
2014-11-25,58
2014-11-26,50
2014-11-27,23
2014-11-28,34
2014-11-29,16
2014-11-30,9
2014-12-01,56
2014-12-02,52
2014-12-03,52
2014-12-04,47
2014-12-05,44
2014-12-06,14
2014-12-07,10
2014-12-08,44
2014-12-09,47
2014-12-10,43
2014-12-11,42
2014-12-12,43
2014-12-13,15
2014-12-14,9
2014-12-15,40
2014-12-16,45
2014-12-17,43
2014-12-18,43
2014-12-19,46
2014-12-20,14
2014-12-21,10
2014-12-22,37
2014-12-23,42
2014-12-24,33
2014-12-25,11
2014-12-26,29
2014-12-27,15
2014-12-28,10
2014-12-29,33
2014-12-30,41
2014-12-31,37
2015-01-01,12
