date,AMZN
2020-04-01,28
2020-04-02,26
2020-04-03,23
2020-04-04,10
2020-04-05,7
2020-04-06,26
2020-04-07,29
2020-04-08,28
2020-04-09,30
2020-04-10,15
2020-04-11,8
2020-04-12,8
2020-04-13,41
2020-04-14,57
2020-04-15,52
2020-04-16,64
2020-04-17,59
2020-04-18,14
2020-04-19,13
2020-04-20,42
2020-04-21,49
2020-04-22,41
2020-04-23,42
2020-04-24,35
2020-04-25,11
2020-04-26,9
2020-04-27,35
2020-04-28,44
2020-04-29,46
2020-04-30,92
2020-05-01,100
2020-05-02,18
2020-05-03,11
2020-05-04,43
2020-05-05,33
2020-05-06,31
2020-05-07,31
2020-05-08,28
2020-05-09,10
2020-05-10,9
2020-05-11,33
2020-05-12,31
2020-05-13,30
2020-05-14,27
2020-05-15,28
2020-05-16,10
2020-05-17,8
2020-05-18,29
2020-05-19,30
2020-05-20,30
2020-05-21,34
2020-05-22,27
2020-05-23,8
2020-05-24,7
2020-05-25,10
2020-05-26,27
2020-05-27,27
2020-05-28,26
2020-05-29,24
2020-05-30,7
2020-05-31,6
2020-06-01,25
2020-06-02,24
2020-06-03,24
2020-06-04,23
2020-06-05,26
2020-06-06,10
2020-06-07,7
2020-06-08,26
2020-06-09,33
2020-06-10,40
2020-06-11,43
2020-06-12,31
2020-06-13,10
2020-06-14,6
2020-06-15,29
2020-06-16,27
2020-06-17,28
2020-06-18,25
2020-06-19,27
2020-06-20,9
2020-06-21,6
2020-06-22,27
2020-06-23,36
2020-06-24,31
2020-06-25,28
2020-06-26,29
2020-06-27,10
2020-06-28,6
2020-06-29,27
2020-06-30,30
2020-07-01,36
