date,AMZN
2016-04-01,19
2016-04-02,6
2016-04-03,5
2016-04-04,17
2016-04-05,17
2016-04-06,22
2016-04-07,17
2016-04-08,17
2016-04-09,5
2016-04-10,4
2016-04-11,18
2016-04-12,14
2016-04-13,18
2016-04-14,22
2016-04-15,19
2016-04-16,7
2016-04-17,5
2016-04-18,23
2016-04-19,33
2016-04-20,23
2016-04-21,21
2016-04-22,20
2016-04-23,9
2016-04-24,4
2016-04-25,21
2016-04-26,22
2016-04-27,26
2016-04-28,96
2016-04-29,100
2016-04-30,12
2016-05-01,7
2016-05-02,40
2016-05-03,35
2016-05-04,32
2016-05-05,25
2016-05-06,25
2016-05-07,9
2016-05-08,6
2016-05-09,28
2016-05-10,48
2016-05-11,55
2016-05-12,44
2016-05-13,39
2016-05-14,12
2016-05-15,8
2016-05-16,35
2016-05-17,30
2016-05-18,32
2016-05-19,28
2016-05-20,26
2016-05-21,7
2016-05-22,7
2016-05-23,22
2016-05-24,26
2016-05-25,24
2016-05-26,26
2016-05-27,22
2016-05-28,9
2016-05-29,3
2016-05-30,6
2016-05-31,21
2016-06-01,29
2016-06-02,25
2016-06-03,24
2016-06-04,6
2016-06-05,5
2016-06-06,23
2016-06-07,20
2016-06-08,22
2016-06-09,21
2016-06-10,18
2016-06-11,7
2016-06-12,3
2016-06-13,15
2016-06-14,16
2016-06-15,20
2016-06-16,19
2016-06-17,19
2016-06-18,4
2016-06-19,5
2016-06-20,15
2016-06-21,19
2016-06-22,16
2016-06-23,26
2016-06-24,45
2016-06-25,9
2016-06-26,5
2016-06-27,32
2016-06-28,28
2016-06-29,22
2016-06-30,20
2016-07-01,20
