date,AAPL
2012-04-01,7
2012-04-02,31
2012-04-03,40
2012-04-04,37
2012-04-05,36
2012-04-06,26
2012-04-07,9
2012-04-08,8
2012-04-09,33
2012-04-10,41
2012-04-11,34
2012-04-12,34
2012-04-13,37
2012-04-14,13
2012-04-15,8
2012-04-16,47
2012-04-17,51
2012-04-18,41
2012-04-19,39
2012-04-20,44
2012-04-21,14
2012-04-22,11
2012-04-23,40
2012-04-24,90
2012-04-25,100
2012-04-26,53
2012-04-27,42
2012-04-28,14
2012-04-29,10
2012-04-30,43
2012-05-01,41
2012-05-02,34
2012-05-03,33
2012-05-04,32
2012-05-05,13
2012-05-06,9
2012-05-07,32
2012-05-08,31
2012-05-09,30
2012-05-10,28
2012-05-11,28
2012-05-12,8
2012-05-13,6
2012-05-14,27
2012-05-15,26
2012-05-16,29
2012-05-17,35
2012-05-18,40
2012-05-19,13
2012-05-20,7
2012-05-21,36
2012-05-22,37
2012-05-23,34
2012-05-24,31
2012-05-25,29
2012-05-26,8
2012-05-27,7
2012-05-28,9
2012-05-29,28
2012-05-30,29
2012-05-31,27
2012-06-01,33
2012-06-02,9
2012-06-03,6
2012-06-04,29
2012-06-05,25
2012-06-06,26
2012-06-07,26
2012-06-08,23
2012-06-09,9
2012-06-10,7
2012-06-11,42
2012-06-12,33
2012-06-13,25
2012-06-14,23
2012-06-15,23
2012-06-16,9
2012-06-17,7
2012-06-18,27
2012-06-19,27
2012-06-20,23
2012-06-21,21
2012-06-22,20
2012-06-23,9
2012-06-24,5
2012-06-25,19
2012-06-26,19
2012-06-27,19
2012-06-28,21
2012-06-29,24
2012-06-30,10
2012-07-01,7
