date,AMZN
2017-07-01,6
2017-07-02,3
2017-07-03,23
2017-07-04,30
2017-07-05,23
2017-07-06,27
2017-07-07,21
2017-07-08,7
2017-07-09,4
2017-07-10,24
2017-07-11,29
2017-07-12,29
2017-07-13,26
2017-07-14,23
2017-07-15,7
2017-07-16,5
2017-07-17,27
2017-07-18,28
2017-07-19,27
2017-07-20,28
2017-07-21,24
2017-07-22,7
2017-07-23,6
2017-07-24,28
2017-07-25,29
2017-07-26,35
2017-07-27,100
2017-07-28,80
2017-07-29,14
2017-07-30,8
2017-07-31,43
2017-08-01,40
2017-08-02,36
2017-08-03,26
2017-08-04,28
2017-08-05,7
2017-08-06,5
2017-08-07,24
2017-08-08,24
2017-08-09,24
2017-08-10,30
2017-08-11,26
2017-08-12,9
2017-08-13,6
2017-08-14,27
2017-08-15,23
2017-08-16,33
2017-08-17,24
2017-08-18,23
2017-08-19,7
2017-08-20,3
2017-08-21,22
2017-08-22,23
2017-08-23,21
2017-08-24,29
2017-08-25,22
2017-08-26,9
2017-08-27,5
2017-08-28,29
2017-08-29,24
2017-08-30,22
2017-08-31,19
2017-09-01,21
2017-09-02,5
2017-09-03,4
2017-09-04,6
2017-09-05,20
2017-09-06,18
2017-09-07,21
2017-09-08,16
2017-09-09,6
2017-09-10,4
2017-09-11,20
2017-09-12,18
2017-09-13,20
2017-09-14,22
2017-09-15,19
2017-09-16,6
2017-09-17,4
2017-09-18,18
2017-09-19,18
2017-09-20,17
2017-09-21,16
2017-09-22,16
2017-09-23,5
2017-09-24,3
2017-09-25,21
2017-09-26,22
2017-09-27,20
2017-09-28,20
2017-09-29,15
2017-09-30,6
2017-10-01,4
