date,MSFT
2016-04-01,21
2016-04-02,6
2016-04-03,6
2016-04-04,22
2016-04-05,21
2016-04-06,17
2016-04-07,16
2016-04-08,19
2016-04-09,4
2016-04-10,6
2016-04-11,18
2016-04-12,18
2016-04-13,17
2016-04-14,19
2016-04-15,20
2016-04-16,7
2016-04-17,4
2016-04-18,25
2016-04-19,25
2016-04-20,28
2016-04-21,63
2016-04-22,83
2016-04-23,20
2016-04-24,10
2016-04-25,30
2016-04-26,36
2016-04-27,35
2016-04-28,29
2016-04-29,30
2016-04-30,11
2016-05-01,7
2016-05-02,22
2016-05-03,28
2016-05-04,25
2016-05-05,19
2016-05-06,21
2016-05-07,7
2016-05-08,8
2016-05-09,21
2016-05-10,22
2016-05-11,19
2016-05-12,19
2016-05-13,24
2016-05-14,8
2016-05-15,4
2016-05-16,19
2016-05-17,23
2016-05-18,23
2016-05-19,19
2016-05-20,24
2016-05-21,8
2016-05-22,4
2016-05-23,16
2016-05-24,19
2016-05-25,30
2016-05-26,20
2016-05-27,21
2016-05-28,8
2016-05-29,5
2016-05-30,6
2016-05-31,18
2016-06-01,22
2016-06-02,20
2016-06-03,20
2016-06-04,8
2016-06-05,6
2016-06-06,21
2016-06-07,21
2016-06-08,20
2016-06-09,19
2016-06-10,18
2016-06-11,5
2016-06-12,4
2016-06-13,100
2016-06-14,47
2016-06-15,30
2016-06-16,23
2016-06-17,24
2016-06-18,7
2016-06-19,5
2016-06-20,17
2016-06-21,23
2016-06-22,22
2016-06-23,24
2016-06-24,49
2016-06-25,13
2016-06-26,7
2016-06-27,29
2016-06-28,33
2016-06-29,22
2016-06-30,22
2016-07-01,22
