date,GOOG
2018-07-01,44
2018-07-02,57
2018-07-03,57
2018-07-04,53
2018-07-05,53
2018-07-06,53
2018-07-07,42
2018-07-08,44
2018-07-09,62
2018-07-10,55
2018-07-11,53
2018-07-12,59
2018-07-13,63
2018-07-14,47
2018-07-15,43
2018-07-16,58
2018-07-17,65
2018-07-18,74
2018-07-19,67
2018-07-20,62
2018-07-21,45
2018-07-22,45
2018-07-23,86
2018-07-24,100
2018-07-25,75
2018-07-26,77
2018-07-27,69
2018-07-28,48
2018-07-29,44
2018-07-30,65
2018-07-31,65
2018-08-01,64
2018-08-02,65
2018-08-03,58
2018-08-04,43
2018-08-05,41
2018-08-06,60
2018-08-07,56
2018-08-08,60
2018-08-09,63
2018-08-10,56
2018-08-11,43
2018-08-12,42
2018-08-13,64
2018-08-14,55
2018-08-15,56
2018-08-16,60
2018-08-17,56
2018-08-18,45
2018-08-19,41
2018-08-20,58
2018-08-21,57
2018-08-22,55
2018-08-23,55
2018-08-24,55
2018-08-25,42
2018-08-26,43
2018-08-27,58
2018-08-28,67
2018-08-29,67
2018-08-30,64
2018-08-31,58
2018-09-01,40
2018-09-02,45
2018-09-03,51
2018-09-04,63
2018-09-05,64
2018-09-06,66
2018-09-07,56
2018-09-08,45
2018-09-09,44
2018-09-10,66
2018-09-11,62
2018-09-12,63
2018-09-13,66
2018-09-14,60
2018-09-15,43
2018-09-16,42
2018-09-17,65
2018-09-18,64
2018-09-19,57
2018-09-20,63
2018-09-21,61
2018-09-22,46
2018-09-23,42
2018-09-24,63
2018-09-25,63
2018-09-26,62
2018-09-27,70
2018-09-28,59
2018-09-29,42
2018-09-30,43
2018-10-01,62
