date,AAPL
2019-01-01,6
2019-01-02,41
2019-01-03,100
2019-01-04,59
2019-01-05,13
2019-01-06,6
2019-01-07,26
2019-01-08,26
2019-01-09,27
2019-01-10,24
2019-01-11,21
2019-01-12,6
2019-01-13,4
2019-01-14,18
2019-01-15,18
2019-01-16,20
2019-01-17,18
2019-01-18,20
2019-01-19,5
2019-01-20,4
2019-01-21,9
2019-01-22,17
2019-01-23,16
2019-01-24,16
2019-01-25,17
2019-01-26,5
2019-01-27,4
2019-01-28,19
2019-01-29,51
2019-01-30,58
2019-01-31,30
2019-02-01,23
2019-02-02,6
2019-02-03,3
2019-02-04,22
2019-02-05,24
2019-02-06,21
2019-02-07,19
2019-02-08,15
2019-02-09,5
2019-02-10,4
2019-02-11,15
2019-02-12,17
2019-02-13,15
2019-02-14,15
2019-02-15,16
2019-02-16,4
2019-02-17,2
2019-02-18,6
2019-02-19,13
2019-02-20,13
2019-02-21,13
2019-02-22,13
2019-02-23,4
2019-02-24,3
2019-02-25,15
2019-02-26,13
2019-02-27,12
2019-02-28,12
2019-03-01,14
2019-03-02,4
2019-03-03,3
2019-03-04,15
2019-03-05,13
2019-03-06,13
2019-03-07,12
2019-03-08,11
2019-03-09,3
2019-03-10,3
2019-03-11,17
2019-03-12,18
2019-03-13,16
2019-03-14,18
2019-03-15,17
2019-03-16,4
2019-03-17,4
2019-03-18,17
2019-03-19,18
2019-03-20,14
2019-03-21,25
2019-03-22,22
2019-03-23,5
2019-03-24,3
2019-03-25,34
2019-03-26,27
2019-03-27,18
2019-03-28,15
2019-03-29,17
2019-03-30,4
2019-03-31,3
2019-04-01,16
