date,AAPL
2016-01-01,8
2016-01-02,6
2016-01-03,6
2016-01-04,34
2016-01-05,39
2016-01-06,49
2016-01-07,59
2016-01-08,54
2016-01-09,10
2016-01-10,7
2016-01-11,39
2016-01-12,41
2016-01-13,39
2016-01-14,35
2016-01-15,42
2016-01-16,11
2016-01-17,5
2016-01-18,14
2016-01-19,33
2016-01-20,42
2016-01-21,37
2016-01-22,42
2016-01-23,11
2016-01-24,8
2016-01-25,38
2016-01-26,89
2016-01-27,100
2016-01-28,55
2016-01-29,45
2016-01-30,13
2016-01-31,7
2016-02-01,33
2016-02-02,37
2016-02-03,35
2016-02-04,33
2016-02-05,33
2016-02-06,9
2016-02-07,5
2016-02-08,33
2016-02-09,34
2016-02-10,29
2016-02-11,29
2016-02-12,29
2016-02-13,9
2016-02-14,5
2016-02-15,14
2016-02-16,29
2016-02-17,33
2016-02-18,30
2016-02-19,25
2016-02-20,8
2016-02-21,4
2016-02-22,29
2016-02-23,26
2016-02-24,26
2016-02-25,28
2016-02-26,27
2016-02-27,7
2016-02-28,5
2016-02-29,23
2016-03-01,32
2016-03-02,30
2016-03-03,30
2016-03-04,29
2016-03-05,8
2016-03-06,5
2016-03-07,30
2016-03-08,26
2016-03-09,25
2016-03-10,23
2016-03-11,24
2016-03-12,7
2016-03-13,3
2016-03-14,23
2016-03-15,32
2016-03-16,28
2016-03-17,27
2016-03-18,29
2016-03-19,6
2016-03-20,6
2016-03-21,48
2016-03-22,37
2016-03-23,30
2016-03-24,27
2016-03-25,14
2016-03-26,6
2016-03-27,4
2016-03-28,23
2016-03-29,31
2016-03-30,36
2016-03-31,32
2016-04-01,26
