date,MSFT
2016-10-01,6
2016-10-02,5
2016-10-03,14
2016-10-04,20
2016-10-05,18
2016-10-06,20
2016-10-07,14
2016-10-08,8
2016-10-09,3
2016-10-10,16
2016-10-11,18
2016-10-12,19
2016-10-13,16
2016-10-14,16
2016-10-15,5
2016-10-16,4
2016-10-17,20
2016-10-18,21
2016-10-19,21
2016-10-20,70
2016-10-21,100
2016-10-22,23
2016-10-23,11
2016-10-24,37
2016-10-25,41
2016-10-26,44
2016-10-27,35
2016-10-28,24
2016-10-29,12
2016-10-30,8
2016-10-31,17
2016-11-01,29
2016-11-02,22
2016-11-03,21
2016-11-04,14
2016-11-05,8
2016-11-06,7
2016-11-07,25
2016-11-08,28
2016-11-09,54
2016-11-10,35
2016-11-11,26
2016-11-12,15
2016-11-13,8
2016-11-14,24
2016-11-15,30
2016-11-16,27
2016-11-17,29
2016-11-18,29
2016-11-19,11
2016-11-20,5
2016-11-21,20
2016-11-22,25
2016-11-23,25
2016-11-24,11
2016-11-25,17
2016-11-26,8
2016-11-27,5
2016-11-28,18
2016-11-29,21
2016-11-30,22
2016-12-01,22
2016-12-02,17
2016-12-03,8
2016-12-04,8
2016-12-05,23
2016-12-06,26
2016-12-07,26
2016-12-08,30
2016-12-09,28
2016-12-10,12
2016-12-11,7
2016-12-12,22
2016-12-13,29
2016-12-14,27
2016-12-15,22
2016-12-16,23
2016-12-17,8
2016-12-18,5
2016-12-19,23
2016-12-20,28
2016-12-21,26
2016-12-22,27
2016-12-23,19
2016-12-24,10
2016-12-25,4
2016-12-26,9
2016-12-27,20
2016-12-28,21
2016-12-29,19
2016-12-30,27
2016-12-31,6
2017-01-01,6
