date,AAPL
2019-10-01,45
2019-10-02,43
2019-10-03,37
2019-10-04,44
2019-10-05,11
2019-10-06,8
2019-10-07,39
2019-10-08,38
2019-10-09,38
2019-10-10,43
2019-10-11,56
2019-10-12,15
2019-10-13,10
2019-10-14,37
2019-10-15,46
2019-10-16,40
2019-10-17,37
2019-10-18,35
2019-10-19,10
2019-10-20,8
2019-10-21,42
2019-10-22,46
2019-10-23,46
2019-10-24,45
2019-10-25,50
2019-10-26,15
2019-10-27,11
2019-10-28,54
2019-10-29,57
2019-10-30,100
2019-10-31,91
2019-11-01,63
2019-11-02,17
2019-11-03,11
2019-11-04,52
2019-11-05,49
2019-11-06,45
2019-11-07,48
2019-11-08,44
2019-11-09,12
2019-11-10,7
2019-11-11,39
2019-11-12,46
2019-11-13,49
2019-11-14,44
2019-11-15,47
2019-11-16,16
2019-11-17,10
2019-11-18,43
2019-11-19,46
2019-11-20,47
2019-11-21,44
2019-11-22,36
2019-11-23,10
2019-11-24,7
2019-11-25,37
2019-11-26,39
2019-11-27,39
2019-11-28,16
2019-11-29,25
2019-11-30,9
2019-12-01,6
2019-12-02,36
2019-12-03,39
2019-12-04,35
2019-12-05,37
2019-12-06,42
2019-12-07,12
2019-12-08,9
2019-12-09,38
2019-12-10,38
2019-12-11,40
2019-12-12,45
2019-12-13,54
2019-12-14,16
2019-12-15,10
2019-12-16,50
2019-12-17,49
2019-12-18,41
2019-12-19,46
2019-12-20,42
2019-12-21,11
2019-12-22,6
2019-12-23,43
2019-12-24,36
2019-12-25,14
2019-12-26,45
2019-12-27,55
2019-12-28,15
2019-12-29,8
2019-12-30,45
2019-12-31,49
2020-01-01,14
