date,AAPL
2022-04-01,31
2022-04-02,9
2022-04-03,6
2022-04-04,32
2022-04-05,29
2022-04-06,32
2022-04-07,28
2022-04-08,26
2022-04-09,7
2022-04-10,6
2022-04-11,32
2022-04-12,30
2022-04-13,29
2022-04-14,28
2022-04-15,13
2022-04-16,5
2022-04-17,5
2022-04-18,29
2022-04-19,27
2022-04-20,27
2022-04-21,31
2022-04-22,30
2022-04-23,9
2022-04-24,7
2022-04-25,35
2022-04-26,35
2022-04-27,41
2022-04-28,100
2022-04-29,75
2022-04-30,16
2022-05-01,9
2022-05-02,43
2022-05-03,34
2022-05-04,31
2022-05-05,43
2022-05-06,40
2022-05-07,11
2022-05-08,7
2022-05-09,47
2022-05-10,39
2022-05-11,52
2022-05-12,60
2022-05-13,45
2022-05-14,9
2022-05-15,7
2022-05-16,37
2022-05-17,38
2022-05-18,42
2022-05-19,46
2022-05-20,44
2022-05-21,12
2022-05-22,6
2022-05-23,41
2022-05-24,42
2022-05-25,35
2022-05-26,35
2022-05-27,34
2022-05-28,10
2022-05-29,4
2022-05-30,11
2022-05-31,32
2022-06-01,32
2022-06-02,31
2022-06-03,32
2022-06-04,9
2022-06-05,6
2022-06-06,35
2022-06-07,34
2022-06-08,30
2022-06-09,31
2022-06-10,33
2022-06-11,8
2022-06-12,6
2022-06-13,43
2022-06-14,34
2022-06-15,37
2022-06-16,41
2022-06-17,35
2022-06-18,8
2022-06-19,7
2022-06-20,15
2022-06-21,33
2022-06-22,30
2022-06-23,29
2022-06-24,27
2022-06-25,8
2022-06-26,6
2022-06-27,26
2022-06-28,29
2022-06-29,28
2022-06-30,26
2022-07-01,28
